Title,EmploymentType,Location,Closingdate,Agency,Link
Chief of Benefits,Full-Time (Salaried),"Outside of State
  Washington
  Prince Georges, MD
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Washington
  Prince Georges, MD",Feb 26 2023 at 23:55 EST,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/chief-of-benefits-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-c
Marine Police Officer,Full-Time (Salaried),"Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lexington

            Galax
  Giles, Virginia
  Gloucester",Apr 2 2023 at 23:55 EDT,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/marine-police-officer-galax-virginia-united-states-giles-virginia-gloucester-goochland-gordonsville-grayson-greene-greensville-halifax-hampton-hanover-harrisonburg-henrico-henry-highland-hope
Operator Maintenance,Full-Time (Salaried),New Kent,Mar 8 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/operator-maintenance-new-kent-virginia-united-states
Employment Services Specialist Senior - #ARS00898,Full-Time (Salaried),Accomac,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-specialist-senior-ars00898-accomac-virginia-united-states
Web Developer - #ARS00822,Full-Time (Salaried),Henrico,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/web-developer-ars00822-henrico-virginia-united-states
Application Developer/Analyst - #ARS00225,Full-Time (Salaried),Henrico,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00225-henrico-virginia-united-states
Application Developer / Analyst - #ARS00229,Full-Time (Salaried),Henrico,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00229-henrico-virginia-united-states
Financial Analyst,Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states-b24d058c-13cb-4ab1-838d-b78082acd1cc
Senior Buyer,Full-Time (Salaried),Henrico,Mar 5 2023 at 23:55 EST,Dept of Prof & Occup Reg,https://www.jobs.virginia.gov/jobs/senior-buyer-henrico-virginia-united-states
Mental Health Clinician II SORT: Greensville,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-ii-sort-greensville-greensville-virginia-united-states
Mental Health Clinician I SORT: Greensville,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-sort-greensville-greensville-virginia-united-states
Deputy clerk - Pre-Court - Portsmouth,Full-Time (Salaried),Portsmouth,Feb 28 2023 at 12:00 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-pre-court-portsmouth-portsmouth-virginia-united-states
Customer Advocate (Agency Employees Only),Full-Time (Salaried),"Arlington
  Charlottesville
  Fredericksburg
  Henrico
  Prince William
  Staunton
  Waynesboro

            Arlington
  Charlottesville
  Fredericksburg",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/customer-advocate-agency-employees-only-richmond-virginia-united-states
Human Resources Consultant Sr,Full-Time (Salaried),"Roanoke
  Roanoke County
  Salem",Mar 6 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/human-resources-consultant-sr-roanoke-virginia-united-states-roanoke-county-salem
Maintenance Crew Leader,Full-Time (Salaried),Fairfax County,Mar 6 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-crew-leader-fairfax-county-virginia-united-states
Deputy Clerk - Henry/Martinsville,Full-Time (Salaried),Martinsville,Feb 24 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-henry-martinsville-martinsville-virginia-united-states
Sr. IT Auditor - Internal,Full-Time (Salaried),Richmond,Mar 7 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/sr-it-auditor-internal-richmond-virginia-united-states
Assistant District Bridge Design Engineer,Full-Time (Salaried),Staunton,Mar 8 2023 at 00:00 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-district-bridge-engineer-staunton-virginia-united-states
Federal Aid and Grants Manager,Full-Time (Salaried),Henrico,Mar 10 2023 at 23:55 EST,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/federal-aid-and-grants-manager-henrico-virginia-united-states
Environmental Health Specialist,Full-Time (Salaried),"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",Mar 1 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-45d9fc56-e996-4061-a2d7-a5168a120c8f
Environmental Health Specialist,Full-Time (Salaried),"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",Mar 1 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-westmoreland
DPB Associate Director,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Planning and Budget,https://www.jobs.virginia.gov/jobs/dpb-associate-director-richmond-virginia-united-states
Probation Officer,Full-Time (Salaried),Alexandria,Mar 8 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-alexandria-virginia-united-states
Communications Technician,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathe-9bde3ef7-96c1-4bf3-90ec-7b0205420ee2
"Senior Bridge Engineer, Safety Inspection – Lynchburg District",Full-Time (Salaried),Lynchburg,Mar 31 2023 at 23:55 EDT,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-bridge-engineer-safety-inspection-lynchburg-district-lynchburg-virginia-united-states
Maintenance Operator - NOVA Maintenance Specialty Crew - Fairfax,Full-Time (Salaried),Fairfax County,Mar 8 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-nova-maintenance-specialty-crew-fairfax-fairfax-county-virginia-united-states
Accountant,Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-f8a69b37-4188-4807-ba5b-a49db80a577a
Highway Maintenance Supervisor,Full-Time (Salaried),Albemarle County,Mar 8 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-albemarle-county-virginia-united-states
Environmental Health Specialist I,Full-Time (Salaried),Fredericksburg,Mar 3 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-i-fredericksburg-virginia-united-states
DMV Customer Service Center Assistant Manager,Full-Time (Salaried),Williamsburg,Mar 7 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-williamsburg-virginia-united-states
Project Specialist Senior -Project Manager Location and Design,Full-Time (Salaried),Salem,Mar 7 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/project-specialist-senior-project-manager-location-and-design-salem-virginia-united-states
"Investigator, Tobacco Enforcement Section (OAG00422)- Northern Virginia",Full-Time (Salaried),Fairfax,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/investigator-tobacco-enforcement-section-oag00422-northern-virginia-fairfax-virginia-united-states
Director of Community Engagement (Marketing & Admissions),Full-Time (Salaried),Roanoke,Mar 10 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/director-of-community-engagement-marketing-admissions-roanoke-virginia-united-states
Receiver/Delivery Driver - Ft. Belvoir VIB Base Supply Store - #BVIIS175,Full-Time (Salaried),Fairfax County,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/receiver-delivery-driver-ft-belvoir-vib-base-supply-store-bviis175-fairfax-county-virginia-united-states
Resource Specialist -South Hill,Full-Time (Salaried),Mecklenburg,Mar 7 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/resource-specialist-south-hill-mecklenburg-virginia-united-states
Executive Secretary: Buckingham Correctional Center #00004,Full-Time (Salaried),Buckingham,Mar 10 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/executive-secretary-buckingham-correctional-center-00004-buckingham-virginia-united-states
Talent Acquisition Specialist,Full-Time (Salaried),Suffolk,Mar 5 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/talent-acquisition-specialist-suffolk-virginia-united-states
Highway Maintenance Crew Member,Full-Time (Salaried),Louisa,Mar 7 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-louisa-virginia-united-states
Area Forester-Southern Rivers District,Full-Time (Salaried),Halifax,Mar 8 2023 at 23:55 EST,Department of Forestry,https://www.jobs.virginia.gov/jobs/area-forester-southern-rivers-district-halifax-virginia-united-states
Office Services Specialist,Full-Time (Salaried),Chesterfield,Mar 6 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/office-services-specialist-chesterfield-virginia-united-states
Buyer Specialist,Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/buyer-specialist-richmond-virginia-united-states
"Benefits Claims Specialist - Roanoke, VA",Full-Time (Salaried),Roanoke,Mar 7 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states-c00f5d3e-3080-47d3-9c5a-d33c252eb097
"Benefits Claims Specialist - Roanoke, VA",Full-Time (Salaried),Roanoke,Mar 7 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states
Accounts Payable Technician - AF056,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/accounts-payable-technician-af056-richmond-virginia-united-states
"IT Service Delivery Manager, Position No. 03299",Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/it-service-delivery-manager-position-no-03299-richmond-virginia-united-states
Veteran Employment Specialist (VES),Full-Time (Salaried),"Chesapeake
  Hampton
  Norfolk
  Virginia Beach

            Chesapeake
  Hampton
  Norfolk",Mar 5 2023 at 23:55 EST,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/veteran-employment-specialist-ves-chesapeake-virginia-united-states-hampton-norfolk-virginia-beach
CO - P0077 - Talent Management Specialist,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p0077-talent-management-specialist-richmond-virginia-united-states
Auditor,Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/auditor-richmond-virginia-united-states-e3aa5a27-1eda-410c-9085-2d3de55262c9
Counseling Center Retirement Counseling Representative (Hybrid),Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/counseling-center-retirement-counseling-representative-hybrid-richmond-virginia-united-states
Software/Systems Administrator,Full-Time (Salaried),"Williamsburg
  York",Mar 2 2023 at 23:55 EST,Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/software-systems-administrator-williamsburg-virginia-united-states-york
Online Assistance Representative (Remote),Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/online-assistance-representative-remote-richmond-virginia-united-states
Senior Roadway Design Engineer,Full-Time (Salaried),Richmond,Mar 21 2023 at 23:55 EDT,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-roadway-design-engineer-richmond-virginia-united-states
Data Specialist,Full-Time (Salaried),Hampton,Mar 19 2023 at 12:00 EDT,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/data-specialist-hampton-virginia-united-states
Seafood Dealer Specialist,Full-Time (Salaried),Hampton,Mar 19 2023 at 12:00 EDT,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/seafood-dealer-specialist-hampton-virginia-united-states
School Safety Manager,Full-Time (Salaried),Chesterfield,,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/school-safety-manager-chesterfield-virginia-united-states
Fiscal Technician,Full-Time (Salaried),"Rockbridge County
  Shenandoah
  Staunton
  Waynesboro

            Rockbridge County
  Shenandoah
  Staunton",Apr 21 2023 at 23:55 EDT,Frontier Culture Museum of VA,https://www.jobs.virginia.gov/jobs/fiscal-technician-rockbridge-county-virginia-united-states-shenandoah-staunton-waynesboro
Director of Administrative Compliance,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/director-of-administrative-compliance-richmond-virginia-united-states
Payment Processing Supervisor,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/payment-processing-supervisor-richmond-virginia-united-states
Early Childhood Data and Research Analyst,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/early-childhood-data-and-research-analyst-richmond-virginia-united-states
Deputy Clerk - Spotsylvania,Full-Time (Salaried),Spotsylvania,Mar 3 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-spotsylvania-spotsylvania-virginia-united-states-afb987d4-b689-4d61-8599-9ef28f98be55
Food Operations Assistant Director: Fluvanna Correctional Center #00100,Full-Time (Salaried),Fluvanna,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-director-fluvanna-correctional-center-00100-fluvanna-virginia-united-states
Financial Services Director,Full-Time (Salaried),Henrico,Feb 26 2023 at 23:55 EST,Dept of Prof & Occup Reg,https://www.jobs.virginia.gov/jobs/financial-services-director-henrico-virginia-united-states
Park Ranger Maintenance - Kiptopeke State Park,Full-Time (Salaried),Northampton,Mar 6 2023 at 23:55 EST,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/park-ranger-maintenance-kiptopeke-state-park-northampton-virginia-united-states
Chief Ranger Law Enforcement - Belle Isle State Park,Full-Time (Salaried),Lancaster,Mar 8 2023 at 23:55 EST,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/chief-ranger-law-enforcement-belle-isle-state-park-lancaster-virginia-united-states
Defined Contribution Plans Administration and Services Supervisor (Hybrid),Full-Time (Salaried),Richmond,Mar 17 2023 at 23:55 EDT,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/defined-contribution-plans-administration-and-services-supervisor-hybrid-richmond-virginia-united-states
Agriculture and Foreign Labor Specialist,Full-Time (Salaried),"Amelia
  Appomattox
  Brunswick
  Cumberland
  Emporia
  Greensville
  Henrico
  Lunenburg
  Mecklenburg
  Nottoway
  Powhatan
  Prince Edward

            Amelia
  Appomattox
  Brunswick",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/agriculture-and-foreign-labor-specialist-emporia-virginia-united-states
Deputy Clerk - Accomack,Full-Time (Salaried),Accomac,Mar 3 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-accomack-accomac-virginia-united-states
"Regional Marketing Specialist (food, agricultural and forest products)",Full-Time (Salaried),Wythe,Mar 24 2023 at 23:55 EDT,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-forest-products-wythe-virginia-united-states
Grants Specialist,Full-Time (Salaried),Richmond,Mar 7 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/grants-specialist-richmond-virginia-united-states
Director of Rehabilitation Teaching and Independent Living - #BVI00017,Full-Time (Salaried),Henrico,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/director-of-rehabilitation-teaching-and-independent-living-bvi00017-henrico-virginia-united-states
Braille Transcriber - #BVI00182,Full-Time (Salaried),Henrico,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/braille-transcriber-bvi00182-henrico-virginia-united-states
"Support Enforcement Specialist - Winchester, (W1222)",Full-Time (Salaried),Winchester,Feb 27 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-winchester-w1222-winchester-virginia-united-states
"Program Support Technician - Richmond, W1939",Full-Time (Salaried),Henrico,Feb 27 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/program-support-technician-richmond-w1939-henrico-virginia-united-states
Human Services Manager - #ARS00005,Full-Time (Salaried),Charlottesville,Feb 27 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/human-services-manager-ars00005-charlottesville-virginia-united-states
Reemployment Services and Eligibility Assessment (RESEA) Specialist,Full-Time (Salaried),"Accomac
  Augusta County
  Bristol
  Charlottesville
  Covington
  Danville
  Emporia
  Galax
  Northampton
  South Boston
  Tazewell
  Wythe

            Accomac
  Augusta County
  Bristol",Feb 26 2023 at 23:55 EST,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/reemployment-services-and-eligibility-assessment-resea-specialist-accomac-virginia-united-states-augusta-county-bristol-charlottesville-covington-danville-emporia-galax-northampton-south-bost
Field Supervisor #W1293 (Newport News),Full-Time (Salaried),Newport News,Feb 27 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/field-supervisor-w1293-newport-news-newport-news-virginia-united-states
Cabinet Making Teacher: Greensville Correctional Center #ED023,Full-Time (Salaried),Greensville,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cabinet-making-teacher-greensville-correctional-center-ed023-greensville-virginia-united-states
Deputy Chief Probation Officer (Probation Supervisor): Voice Verification/Biometric Unit - #00609,Full-Time (Salaried),Powhatan,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/deputy-chief-probation-officer-probation-supervisor-voice-verification-biometric-unit-00609-powhatan-virginia-united-states
Postal Assistant: Haynesville Correctional Complex #00349,Full-Time (Salaried),Richmond County,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/postal-assistant-haynesville-correctional-complex-00349-richmond-county-virginia-united-states
Program Support Technician (Human Resources): St. Brides Correctional Center #00438,Full-Time (Salaried),Chesapeake,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-human-resources-st-brides-correctional-center-00438-chesapeake-virginia-united-states
Plumbing/Pipefitting Teacher: St. Brides Correctional Center #ED013,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/plumbing-pipefitting-teacher-st-brides-correctional-center-ed013-chesapeake-virginia-united-states
Probation Officer: P&P District #5/Gloucester #P0509,Full-Time (Salaried),Gloucester,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-5-gloucester-p0509-gloucester-virginia-united-states
Fish Culturist,Full-Time (Salaried),Bath,Mar 3 2023 at 23:55 EST,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/fish-culturist-bath-virginia-united-states
Program Support Technician 00724,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/program-support-technician-00724-richmond-virginia-united-states
Chief Financial Officer - #ARS00646,Full-Time (Salaried),Henrico,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/chief-financial-officer-ars00646-henrico-virginia-united-states
ROW Associate,Full-Time (Salaried),Salem,Mar 2 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/row-associate-salem-virginia-united-states
Environmental Health Specialist Sr.,Full-Time (Salaried),Culpepper,Mar 7 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-culpepper-virginia-united-states
Public Health Nurse (RN),Full-Time (Salaried),Culpepper,Mar 7 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-rn-culpepper-virginia-united-states
Program Support Technician 00870,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/program-support-technician-00870-richmond-virginia-united-states
District Wildlife Biologist,Full-Time (Salaried),"Wise, Virginia",Mar 3 2023 at 23:55 EST,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-wise-virginia-virginia-united-states
District Wildlife Biologist,Full-Time (Salaried),Prince Edward,Mar 3 2023 at 23:55 EST,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-prince-edward-virginia-united-states
Production Technician: Haynesville Correctional Center #00231,Full-Time (Salaried),Richmond County,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/production-technician-haynesville-correctional-center-00231-richmond-county-virginia-united-states
Release Engineer #00882: Department of Corrections,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/release-engineer-00882-department-of-corrections-richmond-virginia-united-states
District Wildlife Biologist,Full-Time (Salaried),Smyth,Mar 3 2023 at 23:55 EST,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-smyth-virginia-united-states
Probation Officer,Full-Time (Salaried),"Wise, Virginia",Mar 5 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-wise-virginia-virginia-united-states
