Link,requisition_id,pay_band,hiring_range,recruitment_type,location
https://www.jobs.virginia.gov/jobs/alternate-project-delivery-senior-engineer-richmond-virginia-united-states,498482,6,"$89,000 - $144,000",General Public - G,Dept of Transportation
https://www.jobs.virginia.gov/jobs/associate-director-energy-efficiency-and-housing-rehabilitation-richmond-virginia-united-states,498411,6,Negotiable up to $103k,General Public - G,Main Street Centre
https://www.jobs.virginia.gov/jobs/mitigation-specialist-staunton-staunton-virginia-united-states-62c5003a-7985-4286-bff2-d8edbfb32d9e,498435,NA,"$52,990.00 + State Benefits",General Public - G,STAUNTON 301
https://www.jobs.virginia.gov/jobs/manager-office-of-water-supply-richmond-virginia-united-states,498292,NA,"$90,000 - $125,000",General Public - G,Dept of Environmental Quality
https://www.jobs.virginia.gov/jobs/audit-financial-review-team-supervisor-01262-richmond-virginia-united-states,498248,5,"Up to $85,000 annually. Excellent State Benefits",General Public - G,VDACS CENTRAL HEADQUARTERS
https://www.jobs.virginia.gov/jobs/certification-specialist-commercial-pesticide-01330-richmond-virginia-united-states,498237,3,"Up to $49,350 annually. Excellent State Benefits",General Public - G,VDACS CENTRAL HEADQUARTERS
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-staunton-virginia-united-states,498106,NA,"$39,500-$55,000",General Public - G,Cent Shen-August/Staunton
https://www.jobs.virginia.gov/jobs/office-services-specialist-harrisonburg-virginia-united-states,498082,NA,"$32,787 - $35,000",General Public - G,HARRISONBURG
https://www.jobs.virginia.gov/jobs/program-budget-finance-supervisor-w2119-richmond-virginia-united-states,498221,6,"$89,000 - $101,000/yr.",General Public - G,DSS HOME OFFICE
https://www.jobs.virginia.gov/jobs/physical-therapy-assistant-00261-augusta-correctional-center-augusta-county-virginia-united-states,498473,NA,"$42,998 - $72,000",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/agricultural-commodities-inspector-animal-feed-fertilizer-lime-seed-01288-alexandria-virginia-united-states-arlington-clarke-virginia-culpepper-fairfax-fairfax-county-falls-church-fauquier-co,498077,4,"Up to $58,968 annually. This maximum salary can be up to $65,730 if the selected candidate resides in Alexandra, Arlington, Fairfax City, Fairfax, Falls Church, Loudoun, Manassas, Manassas Park, or Prince William. Excellent State Benefits.",General Public - G,"Alexandra, Arlington, Clarke, Culpepper, Fairfax City, Fairfax, Falls Church, Fauquier, Frederick, Greene, Loudoun, Madison, Manassas, Manassas Park, Orange, Page, Prince William, Rappahannock, Warren, and Winchester"
https://www.jobs.virginia.gov/jobs/maintenance-operations-supervisor-bvi00113-richmond-virginia-united-states,497959,4,"Maximum Salary $96,186",General Public - G,Blind & Vision Impaired
https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-rncb-00253-augusta-correctional-center-augusta-county-virginia-united-states,498284,NA,"$90,000 - $115,000",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars01166-newport-news-virginia-united-states,498463,4,"Starting at $49,613 commensurate with experience",General Public - G,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/assistant-store-manager-atf-bviis072-virginia-united-states-washington-district-of-columbia,498419,UG,"Salary range $36,358 - $49,000",General Public - G,Blind & Vision Impaired
https://www.jobs.virginia.gov/jobs/virginia-values-veterans-v3-western-transition-coordinator-roanoke-roanoke-virginia-united-states,497716,NA,"$55,000-$60,000",General Public - G,"Roanoke, Virginia"
https://www.jobs.virginia.gov/jobs/building-and-grounds-supervisor-cold-springs-ccap-01163-augusta-county-virginia-united-states,498266,NA,"$43,659 - $68,108",General Public - G,Cold Springs CCAP
https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-28-radford-p2804-radford-virginia-united-states,497561,NA,"$31,200 - $38,865",General Public - G,Radford P&P
https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-40-fincastle-p4011-staunton-virginia-united-states,498091,NA,"$42,500 - $47,000",General Public - G,Fincastle P&P
https://www.jobs.virginia.gov/jobs/nurse-practitioner-hourly-coffeewood-correctional-center-culpepper-virginia-united-states,498443,NA,$52.89 - $74.52,General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-coffeewood-correctional-center-culpepper-virginia-united-states,498360,NA,"$86,000 - $105,000",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/registered-nurse-cofeewood-correctional-center-culpepper-virginia-united-states,498412,NA,"$71,000 - $91,007",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/laboratory-technician-senior-coffeewood-correctional-center-culpepper-virginia-united-states,498444,NA,"$36,383 - $56,757",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-coffeewood-correctional-center-culpepper-virginia-united-states,498440,NA,"$33,000 - $46,444",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-coffeewood-correctional-center-culpepper-virginia-united-states,498432,NA,"$55,000 - $74,939",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/physician-md-coffeewood-correctional-center-culpepper-virginia-united-states,498423,NA,"$157,364 - $295,843",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/physician-md-00251-augusta-correctional-center-augusta-county-virginia-united-states,498367,NA,"$157,364 - $295,843",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/dental-assistant-00683-augusta-correctional-center-augusta-county-virginia-united-states,498310,NA,"$31,500 - $46,444",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/mental-health-clinician-augusta-correctional-center-augusta-county-virginia-united-states,498331,NA,"$55,125.00 - $77, 175.00",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/nurse-practitioner-00252-augusta-correctional-center-augusta-county-virginia-united-states,498323,NA,"$110,000 - $162,762",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/laboratory-technician-senior-00272-augusta-correctional-center-augusta-county-virginia-united-states,498312,NA,"$36,383 - $56,757",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-augusta-correctional-center-augusta-county-virginia-united-states,498303,NA,"$33,000 - $46,444",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-rnca-00254-augusta-correctional-center-augusta-county-virginia-united-states,498282,NA,"$86,000 - $105,000",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/registered-nurse-augusta-correctional-center-augusta-county-virginia-united-states,498112,NA,"$71,000 - $91,007",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-augusta-correctional-center-augusta-county-virginia-united-states,498117,NA,"$55,000 - $74,939",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/veteran-service-representative-south-hill-va-mecklenburg-virginia-united-states,498213,NA,"Up to $42,000",General Public - G,"South Hill, VA"
https://www.jobs.virginia.gov/jobs/it-business-data-analyst-lead-salem-virginia-united-states,498384,NA,"$75,679 - $100,000",General Public - G,Salem
https://www.jobs.virginia.gov/jobs/forensic-evidence-specialist-i-central-laboratory-cf623-agency-only-richmond-virginia-united-states,498437,3,"$31,745 - $40,482",Agency Employee Only - A,Dept of Forensic Science
https://www.jobs.virginia.gov/jobs/vib-associate-fire-extinguisher-dept-driver-shipping-receiving-bviir002-richmond-virginia-united-states,498425,UG,"Minimum starting salary at $24,960 commensurate with experience",General Public - G,Blind & Vision Impaired
https://www.jobs.virginia.gov/jobs/deputy-clerk-williamsburg-williamsburg-virginia-united-states,498414,NA,"Negotiable up to $35,923.00",General Public - G,9th Dist. CSU Williamsburg
https://www.jobs.virginia.gov/jobs/engineer-senior-project-manager-lynchburg-district-lynchburg-virginia-united-states,498402,NA,"$82,448 - $133,978",General Public - G,Lynchburg District Office
https://www.jobs.virginia.gov/jobs/business-system-administrator-richmond-virginia-united-states,498361,NA,"$69,115-$100,000",General Public - G,Dept of Transportation
https://www.jobs.virginia.gov/jobs/training-outreach-coordinator-richmond-virginia-united-states,498403,NA,"Minimum starting salary $58,900, commensurate with experience",General Public - G,RICHMOND HEADQUARTERS
https://www.jobs.virginia.gov/jobs/sr-qa-automation-specialist-position-no-00933-richmond-virginia-united-states,498353,NA,"Commensurate with experience, up to $90,000",General Public - G,IT SERVICES
https://www.jobs.virginia.gov/jobs/qa-automation-specialist-position-no-00187-richmond-virginia-united-states,498362,NA,"Commensurate with experience, up to $75,000",General Public - G,IT SERVICES
https://www.jobs.virginia.gov/jobs/maintenance-operator-specialty-projects-halifax-residency-halifax-virginia-united-states,498391,NA,"$33,005 - $53,633",General Public - G,Halifax Residency
https://www.jobs.virginia.gov/jobs/information-technology-program-manager-richmond-virginia-united-states,497964,6,"$100,615 - $148,250",General Public - G,Annex Building
https://www.jobs.virginia.gov/jobs/specialty-dockets-compliance-analyst-supreme-court-of-virginia-richmond-virginia-united-states,498370,NA,Commensurate with experience,General Public - G,Supreme Court of Virginia
https://www.jobs.virginia.gov/jobs/executive-assistant-to-director-of-virginia-state-parks-richmond-virginia-united-states,498357,NA,"$45,000 - $55,000",General Public - G,Office
https://www.jobs.virginia.gov/jobs/healthcare-technician-sr-stafford-virginia-united-states,497081,NA,"$38,685 - $42,569",General Public - G,RAPPAHANNOCK-STAFFORD
https://www.jobs.virginia.gov/jobs/information-technology-database-administration-manager-richmond-virginia-united-states,498342,NA,"$130,000-$140,000",General Public - G,Annex Building
https://www.jobs.virginia.gov/jobs/procurement-officer-charlottesville-virginia-united-states-72a71e2e-59dc-4ebd-bc57-94e5f804340f,498302,NA,"$75,000-$85,000 with state benefits",General Public - G,"Charlottesville, Nat Resrcs Dr"
https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-coffeewood-correctional-center-culpepper-virginia-united-states,498308,NA,"$90,000 - $115,000",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/customer-contact-center-senior-specialist-richmond-virginia-united-states,498330,NA,"Minimum starting salary $37,607, commensurate with experience",Agency Employee Only - A,RICHMOND HEADQUARTERS
https://www.jobs.virginia.gov/jobs/retiree-counseling-supervisor-remote-richmond-virginia-united-states,498276,NA,"$59,798 - $76,000",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/program-mgmt-analyst-suffolk-virginia-united-states,498138,5,"$63,988 - $79,985",Agency Employee Only - A,Hampton Roads District Office
https://www.jobs.virginia.gov/jobs/traffic-engineer-alexandria-virginia-united-states-arlington-fairfax-county-loudoun-county-manassas-prince-william,496531,NA,"$81,000-$132,000",General Public - G,NOVA District Office
https://www.jobs.virginia.gov/jobs/land-surveyor-supervisor-fairfax-county-virginia-united-states,495329,NA,"$72,000-$116,000",General Public - G,NOVA District Office
https://www.jobs.virginia.gov/jobs/probation-officer-accomac-virginia-united-states,495082,NA,"starting $53,183 (commensurate with experience)",General Public - G,2-A Dist. CSU Accomac
https://www.jobs.virginia.gov/jobs/lpn-or-rn-charge-nurse-roanoke-virginia-united-states,493908,NA,"$62,400 - $65,520",General Public - G,Virginia Veterans Care Center
https://www.jobs.virginia.gov/jobs/grounds-maintenance-worker-roanoke-virginia-united-states,493830,NA,"$24,913 - $32,000",General Public - G,Virginia Veterans Care Center
https://www.jobs.virginia.gov/jobs/resident-specialist-i-richmond-virginia-united-states,493770,NA,"Minimum $41,894 (salary commensurate with qualifications) $5,000 Sign on Bonus (does not apply to current state employees)",General Public - G,Bon Air JCC
