Title,EmploymentType,Location,Closingdate,Agency,Link,ClosingDate2
Program Support Technician,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-math-47e26c11-45a3-4ff4-8074-d371309e39ba,2023-02-27T23:55:00Z
Accounts Payable Supervisor,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/accounts-payable-supervisor-richmond-virginia-united-states,2023-02-28T23:55:00Z
Accountant,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/accountant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgomery-county-nel,2023-02-27T23:55:00Z
Accounts Payable Accountant,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/accounts-payable-accountant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mat-1725a8e4-fa63-41d7-a6e6-ffd9cc16cd25,2023-02-27T23:55:00Z
Real Pay for Real Jobs (RPRJ) EPIC Project Administrative Support - #ARSR1206,Full-Time (Salaried),Henrico,Feb 27 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/real-pay-for-real-jobs-rprj-epic-project-administrative-support-arsr1206-henrico-virginia-united-states,2023-02-27T23:55:00Z
Accounts Payable Accountant,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/accounts-payable-accountant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-mont,2023-02-27T23:55:00Z
"Assistant Attorney General, Major Crimes and Emerging Threats (OAG00642)",Full-Time (Salaried),Roanoke,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-major-crimes-and-emerging-threats-oag00642-roanoke-virginia-united-states,NA
Business Systems Analyst,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/business-systems-analyst-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgom,2023-02-27T23:55:00Z
Program Support Technician,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montg,2023-02-27T23:55:00Z
Vocational Rehabilitation Counselor - #ARS00576,Full-Time (Salaried),Manassas,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars00576-manassas-virginia-united-states,NA
Food Production Worker A,Full-Time (Salaried),Nottoway,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/food-production-worker-a-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgom,2023-02-27T23:55:00Z
Chief Operations Officer,Full-Time (Salaried),"Manassas
  Prince William",Mar 13 2023 at 23:55 EDT,Department of Health,https://www.jobs.virginia.gov/jobs/chief-operations-officer-manassas-virginia-united-states-prince-william,2023-03-13T23:55:00Z
Equipment and Applications Specialist,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/equipment-and-applications-specialist-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-midd,2023-02-27T23:55:00Z
Employment Services Spec Sr - #ARS00777,Full-Time (Salaried),Manassas,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-spec-sr-ars00777-manassas-virginia-united-states,NA
Regional Dam Safety Engineer,Full-Time (Salaried),Richmond,,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/regional-dam-safety-engineer-richmond-virginia-united-states,NA
Equipment and Applications Specialist (NOC),Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/equipment-and-applications-specialist-noc-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-,2023-02-27T23:55:00Z
RN Weekend Shift Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-weekend-shift-supervisor-virginia-beach-virginia-united-states-8dca5321-059f-424b-8ac3-16f4e26d033b,NA
General Accounting and Reporting Manager (Hybrid),Full-Time (Salaried),Richmond,Mar 13 2023 at 23:55 EDT,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/general-accounting-and-reporting-manager-hybrid-richmond-virginia-united-states,2023-03-13T23:55:00Z
Rehabilitation Teacher - #BVI00124,Full-Time (Salaried),Fairfax County,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/rehabilitation-teacher-bvi00124-fairfax-county-virginia-united-states,NA
Communications Technician,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgo,2023-02-27T23:55:00Z
IT Project Manager,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/it-project-manager-richmond-virginia-united-states,2023-02-27T23:55:00Z
Title I Specialist,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/title-i-specialist-richmond-virginia-united-states,2023-03-06T23:55:00Z
Fiscal Assistant,Full-Time (Salaried),"Manassas
  Prince William",Feb 27 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/fiscal-assistant-manassas-virginia-united-states-prince-william,2023-02-27T23:55:00Z
Public Health Nurse Sr.,Full-Time (Salaried),Petersburg,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states-ddfc5e30-6e7d-4e71-bba9-08787ae61257,2023-03-10T23:55:00Z
Senior Financial Reporting and Compliance Specialist,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/senior-financial-reporting-and-compliance-specialist-richmond-virginia-united-states,2023-03-03T23:55:00Z
Public Health Nurse Sr.,Full-Time (Salaried),Greensville,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-greensville-virginia-united-states,2023-03-10T23:55:00Z
Public Health Nurse Sr.,Full-Time (Salaried),Petersburg,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states,2023-03-10T23:55:00Z
Business Manager C (ALX),Full-Time (Salaried),Alexandria,Mar 13 2023 at 23:55 EDT,Department of Health,https://www.jobs.virginia.gov/jobs/business-manager-c-alx-alexandria-virginia-united-states,2023-03-13T23:55:00Z
Public Health Nurse Sr.,Full-Time (Salaried),Prince George,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-prince-george-virginia-united-states,2023-03-10T23:55:00Z
RN Weekend Shift Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-weekend-shift-supervisor-virginia-beach-virginia-united-states,NA
Production Technician: Virginia Correctional Enterprises #00235,Full-Time (Salaried),Powhatan,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/production-technician-virginia-correctional-enterprises-00235-powhatan-virginia-united-states-61741fe9-e9c9-42bb-8079-cac01cfd35f2,2023-02-28T23:55:00Z
Cognitive Counselor: P&P District #11 Winchester,Full-Time (Salaried),Winchester,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-11-winchester-winchester-virginia-united-states,2023-02-28T23:55:00Z
Corrections Officer: Stafford CCAP #01149,Full-Time (Salaried),Stafford,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-stafford-ccap-01149-stafford-virginia-united-states-73194cbc-400a-4278-a7cc-ea1a47d4bfdc,2023-02-28T23:55:00Z
Corrections Sergeant: Central Virginia Correctional Unit #13  #13085,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-central-virginia-correctional-unit-13-13085-chesterfield-virginia-united-states,2023-02-28T23:55:00Z
Fiscal Tech Senior: Central Virginia Correctional Unit #13,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-tech-senior-central-virginia-correctional-unit-13-chesterfield-virginia-united-states,2023-02-28T23:55:00Z
Casework Counselor: Virginia Correctional Center For Women #00146,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-virginia-correctional-center-for-women-00146-goochland-virginia-united-states,2023-02-28T23:55:00Z
Cognitive Counselor: Virginia Correctional Center For Women #02017,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-virginia-correctional-center-for-women-02017-goochland-virginia-united-states,2023-02-28T23:55:00Z
Inmate Grievance Coordinator: Nottoway Correctional Center,Full-Time (Salaried),Nottoway,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-nottoway-correctional-center-nottoway-virginia-united-states,2023-02-28T23:55:00Z
Cognitive Counselor: Dillwyn Correctional Center,Full-Time (Salaried),Buckingham,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-dillwyn-correctional-center-buckingham-virginia-united-states,2023-02-28T23:55:00Z
Human Resources Analyst : Virginia Correctional Ctr For Women #00016,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/human-resources-analyst-virginia-correctional-ctr-for-women-00016-goochland-virginia-united-states,2023-02-28T23:55:00Z
Program Support Technician: VIrginia Correctional Center for Women,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-correctional-center-for-women-goochland-virginia-united-states,2023-02-28T23:55:00Z
Corrections Sergeant: Virginia Correctional Center for Women #00285,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-virginia-correctional-center-for-women-00285-goochland-virginia-united-states,2023-02-28T23:55:00Z
Food Operations Assistant Director: Virginia Correctional Center for Women #01123,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-virginia-correctional-center-for-women-01123-goochland-virginia-united-states,2023-02-28T23:55:00Z
Time Computation Correspondence Specialist: Central Administration #01427,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/time-computation-correspondence-specialist-central-administration-01427-richmond-virginia-united-states-24cd99b9-6b13-429b-bb22-f71a39f786a6,2023-02-28T23:55:00Z
Corrections Assistant Warden: Coffeewood Correctional Center #00003,Full-Time (Salaried),Culpepper,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-assistant-warden-coffeewood-correctional-center-00003-culpepper-virginia-united-states,2023-02-28T23:55:00Z
Corrections Officer: Stafford CCAP #01149,Full-Time (Salaried),Stafford,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-stafford-ccap-01149-stafford-virginia-united-states,2023-02-28T23:55:00Z
Probation Officer: P&P District #9 Charlottesville #P0915,Full-Time (Salaried),Charlottesville,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-9-charlottesville-p0915-charlottesville-virginia-united-states,2023-02-28T23:55:00Z
Regulatory Compliance Specialist,Full-Time (Salaried),Richmond,,Virginia State Bar,https://www.jobs.virginia.gov/jobs/regulatory-compliance-specialist-richmond-virginia-united-states,NA
AQM - P0729 - Air Quality Monitoring Specialist,Full-Time (Salaried),Henrico,Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/aqm-p0729-air-quality-monitoring-specialist-henrico-virginia-united-states,2023-02-27T23:55:00Z
Benefits Administrator,Full-Time (Salaried),"North Chesterfield
  Richmond",,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/benefits-administrator-north-chesterfield-virginia-united-states-richmond,NA
Registered Nurse,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/registered-nurse-virginia-beach-virginia-united-states,NA
Certified Nursing Assistant,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/certified-nursing-assistant-virginia-beach-virginia-united-states,NA
Cognitive Counselor: Greensville Correctional Ctr. Eastern Region -#01336,Full-Time (Salaried),Greensville,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-greensville-correctional-ctr-eastern-region-01336-greensville-virginia-united-states,2023-02-28T23:55:00Z
Probation Officer: P&P District #11 Winchester #P1108,Full-Time (Salaried),Winchester,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-11-winchester-p1108-winchester-virginia-united-states,2023-02-28T23:55:00Z
Food Operations Supervisor: Coffeewood Correctional Center #00048,Full-Time (Salaried),Culpepper,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-coffeewood-correctional-center-00048-culpepper-virginia-united-states,2023-02-28T23:55:00Z
Electronic Technician Senior: Coffeewood Correctional Center #00096,Full-Time (Salaried),Culpepper,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/electronic-technician-senior-coffeewood-correctional-center-00096-culpepper-virginia-united-states,2023-02-28T23:55:00Z
Program Support Technician (Timekeeper): Lunenburg Correctional Center #00457,Full-Time (Salaried),Lunenburg,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-timekeeper-lunenburg-correctional-center-00457-lunenburg-virginia-united-states,2023-02-28T23:55:00Z
Electrician Supervisor: Buckingham Correctional Center #00046,Full-Time (Salaried),Buckingham,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/electrician-supervisor-buckingham-correctional-center-00046-buckingham-virginia-united-states,2023-02-28T23:55:00Z
Casework Counselor: Central Virginia Correctional Unit #13  #13060,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-central-virginia-correctional-unit-13-13060-chesterfield-virginia-united-states,2023-02-28T23:55:00Z
Cognitive Counselor: Lunenburg Correctional Center #00462,Full-Time (Salaried),Lunenburg,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-lunenburg-correctional-center-00462-lunenburg-virginia-united-states,2023-02-28T23:55:00Z
Storekeeper Supervisor: VA Correctional Center For Women #00174,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/storekeeper-supervisor-va-correctional-center-for-women-00174-goochland-virginia-united-states,2023-02-28T23:55:00Z
Business Coordinator,Full-Time (Salaried),Fairfax County,Feb 27 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/business-coordinator-fairfax-county-virginia-united-states,2023-02-27T23:55:00Z
"Regional Marketing Specialist (food, agricultural and specialty crop products)",Full-Time (Salaried),"Accomac
  Northampton
  Virginia Beach",Mar 10 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-specialty-crop-products-accomac-virginia-united-states-northampton-virginia-beach,2023-03-10T23:55:00Z
"Coordinator, Governor’s Schools and Gifted Education, K-12",Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/coordinator-governor-s-schools-and-gifted-education-k-12-richmond-virginia-united-states,2023-03-06T23:55:00Z
RN 11-7 Shift Relief Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-11-7-shift-relief-supervisor-virginia-beach-virginia-united-states,NA
RN 3-11 Shift Relief Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-3-11-shift-relief-supervisor-virginia-beach-virginia-united-states,NA
Senior Research Associate,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/senior-research-associate-richmond-virginia-united-states,2023-03-01T23:55:00Z
Housekeeper,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/day-porter-float-virginia-beach-virginia-united-states,NA
Human Resources Analyst,Full-Time (Salaried),Richmond,,Supreme Court,https://www.jobs.virginia.gov/jobs/human-resource-analyst-richmond-virginia-united-states-ca202b8d-70a2-4252-bd02-a23ad2133681,NA
Nutrition Services Aide,Full-Time (Salaried),Richmond,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/nutrition-services-aide-richmond-virginia-united-states,NA
Corrections Officer - State Farm Correctional Complex,Full-Time (Salaried),"Goochland
  Richmond",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-state-farm-virginia-united-states-809beb00-b44a-4b84-946a-5d35777d5d32,NA
Compliance Coordinator,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/compliance-coordinator-richmond-virginia-united-states,2023-02-27T23:55:00Z
Systems Analyst - Advanced #W5165,Full-Time (Salaried),Richmond,,Department of Social Services,https://www.jobs.virginia.gov/jobs/systems-analyst-advanced-richmond-virginia-united-states,NA
"Assistant Attorney General, Transportation Section (OAG00485)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states,NA
"Assistant Attorney General, Criminal Litigation Section (OAG00541)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-e4de1b25-a0b0-4d12-9d69-1410d774e51a,NA
"Assistant Attorney General, Computer Crimes Section (OAG00444)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-82d53b20-7c25-4492-ac27-21c020921972,NA
"Assistant Attorney General, Health Professions Section (OAG00279)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-99024962-ba6c-4809-a939-3bf8a407488c,NA
"Assistant Attorney General, Health Professions Section (OAG00076)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-9fc3bd42-fda2-443d-bb5d-bb1ff83c36a0,NA
"Assistant Attorney General, Environmental Section (OAG00217)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-0ff73833-3799-4ed5-82e3-72cf7b5506c3,NA
"Assistant Attorney General, Environmental Section (OAG00103)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-9e563908-9d2a-4c1c-879e-1a0cbb3100ea,NA
Assistant Attorney General / Technology & Procurement Law Section,Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-technology-procurement-law-section-richmond-virginia-united-states,NA
"Assistant Attorney General III, Real Estate & Land Use Section (OAG00113)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-iii-richmond-virginia-united-states,NA
"Paralegal, Insurance & Utilities Regulatory Section (OAG00123)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/paralegal-insurance-utilities-regulatory-section-richmond-virginia-united-states-6315e9e3-10b7-4556-8bb9-1c03963d0aab,NA
Director of Victim Services (OAG00205),Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/director-of-victim-services-richmond-virginia-united-states,NA
Senior IT Management Analyst (Hybrid),Full-Time (Salaried),Richmond,,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/senior-it-management-analyst-hybrid-richmond-virginia-united-states,NA
Senior Employer Confirmation Analyst (Hybrid),Full-Time (Salaried),Richmond,,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/senior-employer-confirmation-analyst-hybrid-richmond-virginia-united-states,NA
Licensed Practical Nurse,Full-Time (Salaried),"Richmond
  Sussex",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-waverly-virginia-united-states,NA
"Director, Administrative and Financial Services",Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/director-administrative-amp-financial-services-richmond-virginia-united-states,2023-02-24T23:55:00Z
SharePoint Administrator - 00016,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/sharepoint-administrator-00016-richmond-virginia-united-states,NA
Licensed Practical Nurse (LPN),Full-Time (Salaried),Richmond,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-lpn-richmond-virginia-united-states,NA
Certified Nurse Aide (CNA),Full-Time (Salaried),Richmond,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/certified-nurse-aide-cna-richmond-virginia-united-states,NA
Special Assistant,Full-Time (Salaried),Richmond,,Tobacco Rgn Revitalizatn Comm,https://www.jobs.virginia.gov/jobs/special-assistant-richmond-virginia-united-states,NA
Deputy Director of Administration,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/deputy-director-of-administration-richmond-virginia-united-states,2023-02-24T23:55:00Z
Audit Services Manager,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/audit-services-manager-richmond-virginia-united-states,2023-02-24T23:55:00Z
"Assistant Attorney General, Antitrust Unit (OAG00336)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-385e77ae-8952-484d-b933-3f6cee73f110,NA
"Assistant Attorney General, Health Professions Unit (OAG00150)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-a3dba95f-ff60-4418-8c65-45bd33ee47be,NA
"Assistant Attorney General, Civil Litigation Section (OAG00507)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-e75dd8ee-e3cb-4b7b-8c92-62373e27781c,NA
"Assistant Attorney General, Unit Manager Position",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-unit-manager-position-richmond-virginia-united-states,NA
Assistant Clerk,Full-Time (Salaried),Richmond,,Virginia State Bar,https://www.jobs.virginia.gov/jobs/assistant-clerk-richmond-virginia-united-states,NA
Engineer Associate EDGE (Statewide Opportunities),Full-Time (Salaried),"Bristol
  Colonial Heights
  Culpepper
  Fairfax County
  Fredericksburg
  Lynchburg
  Richmond
  Salem
  Staunton
  Suffolk

            Bristol
  Colonial Heights
  Culpepper",,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-associate-edge-richmond-virginia-united-states-22829da5-7306-4572-9495-11f039b5c52d,NA
Scientist I - CL626,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/scientist-i-cl626-richmond-virginia-united-states,NA
