Link,RequisitionID,PayBand,HiringRange,RecruitmentType,Location
https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00225-henrico-virginia-united-states,498168,6,"$66,380 - $110,000.00",General Public - G,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00229-henrico-virginia-united-states,498167,6,"$66,380 - $110,000",General Public - G,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states-b24d058c-13cb-4ab1-838d-b78082acd1cc,498162,5,"Commensurate with experience, up to $65,000",State Employee Only - E,BUDGET
https://www.jobs.virginia.gov/jobs/senior-buyer-henrico-virginia-united-states,498121,NA,"$50,000 - $62,000",General Public - G,DPOR Main Office
https://www.jobs.virginia.gov/jobs/mental-health-clinician-ii-sort-greensville-greensville-virginia-united-states,498039,NA,"$66,150 - $108,045",General Public - G,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-sort-greensville-greensville-virginia-united-states,498038,NA,"$55,125.00 - $77, 175.00",General Public - G,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/deputy-clerk-pre-court-portsmouth-portsmouth-virginia-united-states,496837,NA,"negotiable to $35,923",General Public - G,3rd Dist. CSU Portsmouth
https://www.jobs.virginia.gov/jobs/customer-advocate-agency-employees-only-richmond-virginia-united-states,493155,NA,"$42,000",Agency Employee Only - A,VEC CENTRAL OFFICE
https://www.jobs.virginia.gov/jobs/human-resources-consultant-sr-roanoke-virginia-united-states-roanoke-county-salem,495903,NA,"$70,310-$114,254",General Public - G,Salem
https://www.jobs.virginia.gov/jobs/maintenance-crew-leader-fairfax-county-virginia-united-states,497031,NA,"$43,000-$70,000",General Public - G,Merrifield Area Headquarters
https://www.jobs.virginia.gov/jobs/deputy-clerk-henry-martinsville-martinsville-virginia-united-states,496759,NA,"negotiable to $35,923",General Public - G,CSU 21 - Martinsville CSU
https://www.jobs.virginia.gov/jobs/sr-it-auditor-internal-richmond-virginia-united-states,496660,NA,"Commensurate with experience, up to 95,000",General Public - G,INTERNAL AUDIT
https://www.jobs.virginia.gov/jobs/assistant-district-bridge-engineer-staunton-virginia-united-states,495994,NA,"$82,448 - $133,978",General Public - G,Staunton District Office
https://www.jobs.virginia.gov/jobs/federal-aid-and-grants-manager-henrico-virginia-united-states,496864,5,"starting at $70,000 (salary will be commensurate with experience)",General Public - G,Dept of Wildlife Resources
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-45d9fc56-e996-4061-a2d7-a5168a120c8f,497568,4,"$38,894 - $56,000",General Public - G,THREE RIVERS-NORTHUMBERLND
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-westmoreland,497364,4,"$38,894 - $56,000",General Public - G,THREE RIVERS-GLOUCESTER
https://www.jobs.virginia.gov/jobs/dpb-associate-director-richmond-virginia-united-states,495783,7,"$120,000 - $155,000",General Public - G,Dept of Planning Budget
https://www.jobs.virginia.gov/jobs/probation-officer-alexandria-virginia-united-states,498127,NA,"Starting pay $53,183 (commensurate with experience).",General Public - G,Alexandria J&DR Court
https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathe-9bde3ef7-96c1-4bf3-90ec-7b0205420ee2,497177,4,Negotiable and Commensurate with Experience,General Public - G,"Culpeper, Virginia"
https://www.jobs.virginia.gov/jobs/senior-bridge-engineer-safety-inspection-lynchburg-district-lynchburg-virginia-united-states,498159,NA,"$82,448 - $133,978",General Public - G,Lynchburg District Office
https://www.jobs.virginia.gov/jobs/maintenance-operator-nova-maintenance-specialty-crew-fairfax-fairfax-county-virginia-united-states,498135,NA,"$40,000 - $64,500",General Public - G,Burke AHQ
https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-f8a69b37-4188-4807-ba5b-a49db80a577a,498072,4,"Commensurate with experience, up to $48,000.",Agency Employee Only - A,ACCOUNTS RECEIVABLE
https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-albemarle-county-virginia-united-states,498161,NA,"$41,886 - $68,065",General Public - G,Keene AHQ
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-i-fredericksburg-virginia-united-states,497660,NA,"$38,894 - $44,100",General Public - G,RAPPAHANNOCK-FREDERICKSBURG
https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-williamsburg-virginia-united-states,497867,NA,"Commensurate with experience up to $56,000",General Public - G,WILLIAMSBURG CSC
https://www.jobs.virginia.gov/jobs/project-specialist-senior-project-manager-location-and-design-salem-virginia-united-states,498126,NA,"$78,918-$108,000",General Public - G,Salem District Office
https://www.jobs.virginia.gov/jobs/investigator-tobacco-enforcement-section-oag00422-northern-virginia-fairfax-virginia-united-states,498140,NA,Commensurate with experience,General Public - G,NORTHERN VIRGINIA
https://www.jobs.virginia.gov/jobs/director-of-community-engagement-marketing-admissions-roanoke-virginia-united-states,498136,NA,"$45,000 - $90,000",General Public - G,Virginia Veterans Care Center
https://www.jobs.virginia.gov/jobs/receiver-delivery-driver-ft-belvoir-vib-base-supply-store-bviis175-fairfax-county-virginia-united-states,498128,Non-Classified,"Salary Range $34,200 - $46,000",General Public - G,Blind & Vision Impaired (NOVA)
https://www.jobs.virginia.gov/jobs/resource-specialist-south-hill-mecklenburg-virginia-united-states,498111,NA,"$40,000-$50,000",General Public - G,"South Hill, Virginia"
https://www.jobs.virginia.gov/jobs/executive-secretary-buckingham-correctional-center-00004-buckingham-virginia-united-states,498028,NA,"$33,000 - $46,444",General Public - G,Buckingham Correctional Center
https://www.jobs.virginia.gov/jobs/talent-acquisition-specialist-suffolk-virginia-united-states,498066,NA,"$75,062 to $95,000",General Public - G,Hampton Roads District Office
https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-louisa-virginia-united-states,498051,NA,"$40,000 - 53,633",General Public - G,Zion Crossroads AHQ
https://www.jobs.virginia.gov/jobs/area-forester-southern-rivers-district-halifax-virginia-united-states,498048,NA,"Starting at $40,000.00+ with benefits",General Public - G,Central Office Halifax
https://www.jobs.virginia.gov/jobs/office-services-specialist-chesterfield-virginia-united-states,498046,NA,"Commensurate up to $44,625",General Public - G,12th Dist. CSU Chesterfield
https://www.jobs.virginia.gov/jobs/buyer-specialist-richmond-virginia-united-states,498044,NA,"Commensurate up to $60,000",General Public - G,Central Office
https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states-c00f5d3e-3080-47d3-9c5a-d33c252eb097,498037,NA,"Up to $55,000",Agency Employee Only - A,NA
https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states,498035,NA,"Up to $55, 000",Agency Employee Only - A,"Roanoke, VA"
https://www.jobs.virginia.gov/jobs/accounts-payable-technician-af056-richmond-virginia-united-states,498025,NA,"$40,000 - $55,000",General Public - G,Washington Building
https://www.jobs.virginia.gov/jobs/it-service-delivery-manager-position-no-03299-richmond-virginia-united-states,497802,NA,"Commensurate with experience, up to $115,000",Agency Employee Only - A,IT SERVICES
https://www.jobs.virginia.gov/jobs/veteran-employment-specialist-ves-chesapeake-virginia-united-states-hampton-norfolk-virginia-beach,496973,NA,"$40,000 - $45,000 annually",Agency Employee Only - A,NORFOLK
https://www.jobs.virginia.gov/jobs/co-p0077-talent-management-specialist-richmond-virginia-united-states,496105,NA,"$54,480 - $65,000",General Public - G,Dept of Environmental Quality
https://www.jobs.virginia.gov/jobs/auditor-richmond-virginia-united-states-e3aa5a27-1eda-410c-9085-2d3de55262c9,495795,NA,"$53,984 to $67,480",General Public - G,Annex Building
https://www.jobs.virginia.gov/jobs/counseling-center-retirement-counseling-representative-hybrid-richmond-virginia-united-states,495743,NA,"$54,631 - $65,000",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/software-systems-administrator-williamsburg-virginia-united-states-york,495692,NA,"$66,500-$73,000",General Public - G,Jamestown General
https://www.jobs.virginia.gov/jobs/online-assistance-representative-remote-richmond-virginia-united-states,495676,NA,"$54,361",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/senior-roadway-design-engineer-richmond-virginia-united-states,494865,NA,"$89,000 - $105,000",General Public - G,Dept of Transportation
https://www.jobs.virginia.gov/jobs/data-specialist-hampton-virginia-united-states,495079,NA,"$43,000-$52,000",General Public - G,main location
https://www.jobs.virginia.gov/jobs/seafood-dealer-specialist-hampton-virginia-united-states,495072,NA,"$33,000-$41,000",General Public - G,main location
https://www.jobs.virginia.gov/jobs/school-safety-manager-chesterfield-virginia-united-states,494955,NA,"Commensurate up to $105,000; $5,000 Sign-on Bonus",General Public - G,Bon Air JCC
https://www.jobs.virginia.gov/jobs/fiscal-technician-rockbridge-county-virginia-united-states-shenandoah-staunton-waynesboro,493895,NA,"$41,000-46,000",General Public - G,Frontier Culture Museum of Va
https://www.jobs.virginia.gov/jobs/director-of-administrative-compliance-richmond-virginia-united-states,494297,NA,"$91,462 - $130,000",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/payment-processing-supervisor-richmond-virginia-united-states,496025,NA,"$50,811-$64,555",General Public - G,DSS HOME OFFICE
https://www.jobs.virginia.gov/jobs/early-childhood-data-and-research-analyst-richmond-virginia-united-states,496351,5,"$70,000 min - $90,000 max",General Public - G,VDOE James Monroe Building
https://www.jobs.virginia.gov/jobs/deputy-clerk-spotsylvania-spotsylvania-virginia-united-states-afb987d4-b689-4d61-8599-9ef28f98be55,497136,NA,"negotiable to $35,923",General Public - G,Spotsylvania Gen Dist Ct
https://www.jobs.virginia.gov/jobs/food-operations-director-fluvanna-correctional-center-00100-fluvanna-virginia-united-states,496937,NA,"$43,890 - $64,909",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/financial-services-director-henrico-virginia-united-states,496296,NA,"$85,000 - $120,000",General Public - G,DPOR Main Office
https://www.jobs.virginia.gov/jobs/park-ranger-maintenance-kiptopeke-state-park-northampton-virginia-united-states,496456,NA,"$31,746 - $46,355",General Public - G,Kiptopeke State Park
https://www.jobs.virginia.gov/jobs/chief-ranger-law-enforcement-belle-isle-state-park-lancaster-virginia-united-states,496396,NA,"$40,000 - $60,289",General Public - G,Belle Isle State Park
https://www.jobs.virginia.gov/jobs/defined-contribution-plans-administration-and-services-supervisor-hybrid-richmond-virginia-united-states,497196,NA,"$80,000 - $86,000",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/agriculture-and-foreign-labor-specialist-emporia-virginia-united-states,493145,NA,"$45,000 - $55,000 annually",General Public - G,EMPORIA
https://www.jobs.virginia.gov/jobs/deputy-clerk-accomack-accomac-virginia-united-states,496852,NA,"negotiable to $35,923",General Public - G,2-A Dist. CSU Accomac
https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-forest-products-wythe-virginia-united-states,496250,5,"Up to $75,600 annually",General Public - G,WYTHEVILLE LAB-OFFICE
https://www.jobs.virginia.gov/jobs/grants-specialist-richmond-virginia-united-states,496753,5,"Up to $70,000 annually",General Public - G,VDACS CENTRAL HEADQUARTERS
https://www.jobs.virginia.gov/jobs/director-of-rehabilitation-teaching-and-independent-living-bvi00017-henrico-virginia-united-states,497961,5,"Minimum starting salary at $68,000 commensurate with exp commensurate with experience",General Public - G,Blind & Vision Impaired
https://www.jobs.virginia.gov/jobs/braille-transcriber-bvi00182-henrico-virginia-united-states,497960,3,"$29,772 - $41,400",General Public - G,Blind & Vision Impaired
https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-winchester-w1222-winchester-virginia-united-states,497693,NA,"$38,894 - $47,000, (salary commensurate with experience)",General Public - G,DCSE WINCHESTER
https://www.jobs.virginia.gov/jobs/program-support-technician-richmond-w1939-henrico-virginia-united-states,497610,NA,"$36,000 - $40,000 (salary commensurate with experience)",General Public - G,DCSE CENTRAL VIRGINIA
https://www.jobs.virginia.gov/jobs/human-services-manager-ars00005-charlottesville-virginia-united-states,497292,5,"Minimum starting salary at $71,663 commensurate with experience",Agency Employee Only - A,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/reemployment-services-and-eligibility-assessment-resea-specialist-accomac-virginia-united-states-augusta-county-bristol-charlottesville-covington-danville-emporia-galax-northampton-south-bost,497055,NA,"$42,000 - $47,000",Agency Employee Only - A,VEC CENTRAL OFFICE
https://www.jobs.virginia.gov/jobs/field-supervisor-w1293-newport-news-newport-news-virginia-united-states,497949,NA,"$62,904 to $70,962 (salary commensurate w/experience)",Agency Employee Only - A,DCSE NEWPORT NEWS
https://www.jobs.virginia.gov/jobs/cabinet-making-teacher-greensville-correctional-center-ed023-greensville-virginia-united-states,497943,NA,"$58,093 - $81,471",General Public - G,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/deputy-chief-probation-officer-probation-supervisor-voice-verification-biometric-unit-00609-powhatan-virginia-united-states,497939,NA,"$57,785 - $96,315",Agency Employee Only - A,Deputy Dir Off-Comm Corr
https://www.jobs.virginia.gov/jobs/postal-assistant-haynesville-correctional-complex-00349-richmond-county-virginia-united-states,497938,NA,"$30,000 - $38,865",General Public - G,Haynesville Correctional Ctr
https://www.jobs.virginia.gov/jobs/program-support-technician-human-resources-st-brides-correctional-center-00438-chesapeake-virginia-united-states,497937,NA,"$33,000 - $46,444",General Public - G,St. Brides Correctional Center
https://www.jobs.virginia.gov/jobs/plumbing-pipefitting-teacher-st-brides-correctional-center-ed013-chesapeake-virginia-united-states,497315,NA,"$56,786 - $79,639",General Public - G,St. Brides Correctional Center
https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-5-gloucester-p0509-gloucester-virginia-united-states,497617,NA,"$42,500 - $47,000",General Public - G,Gloucester P&P
https://www.jobs.virginia.gov/jobs/fish-culturist-bath-virginia-united-states,497931,3,"Starting @ $29,772 (salary to commensurate with experience)",General Public - G,Coursey Springs Hatchery
https://www.jobs.virginia.gov/jobs/program-support-technician-00724-richmond-virginia-united-states,497927,NA,"Commensurate with experience up to $41,600",General Public - G,COMMERCIAL LICENSING WORK CNTR
https://www.jobs.virginia.gov/jobs/chief-financial-officer-ars00646-henrico-virginia-united-states,497928,7,Commensurate with experience - Projected Salary in the $150s,General Public - G,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/row-associate-salem-virginia-united-states,497924,NA,"$47,000 flat amount",General Public - G,Salem District Office
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-culpepper-virginia-united-states,497918,4,"$42,000 - $58,000",General Public - G,RAP-RAP-CULPEPER
https://www.jobs.virginia.gov/jobs/public-health-nurse-rn-culpepper-virginia-united-states,497910,4,"$60,900 - $67,250",General Public - G,RAP-RAP-CULPEPER
https://www.jobs.virginia.gov/jobs/program-support-technician-00870-richmond-virginia-united-states,497919,3,"Commensurate with experience $41,600",General Public - G,DRIVER SERVICES ADMIN
https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-wise-virginia-virginia-united-states,497917,5,"Starting @ $53,000 (salary to commensurate with experience)",General Public - G,Clinch Mountain
https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-prince-edward-virginia-united-states,497913,5,"Starting @$53,000 (salary to commensurate with experience)",General Public - G,Briery Creek WMA
https://www.jobs.virginia.gov/jobs/production-technician-haynesville-correctional-center-00231-richmond-county-virginia-united-states,497906,NA,"$33,626 - $50,440",General Public - G,Haynesville Correctional Ctr
https://www.jobs.virginia.gov/jobs/release-engineer-00882-department-of-corrections-richmond-virginia-united-states,497904,NA,"$77,175 - $127,339",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/district-wildlife-biologist-smyth-virginia-united-states,497908,5,"Starting @ $53,000 (salary to commensurate with experience)",General Public - G,Region III Office Marion
https://www.jobs.virginia.gov/jobs/probation-officer-wise-virginia-virginia-united-states,497843,NA,"starting $53,183 (commensurate with experience)",General Public - G,CSU 30 - Wise
https://www.jobs.virginia.gov/jobs/planning-and-reporting-program-manager-richmond-virginia-united-states,497902,NA,"$81,375 - $132,235",General Public - G,Dept of Transportation
https://www.jobs.virginia.gov/jobs/brro-p4421-stormwater-inspector-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,497833,5,"$50,811 - $85,000",General Public - G,Blue Ridge Regional Office
https://www.jobs.virginia.gov/jobs/co-p6038-mitigation-specialist-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-blan,497830,5,"$50,811 - $90,000",General Public - G,Dept of Environmental Quality
https://www.jobs.virginia.gov/jobs/attorney-legal-affairs-and-policy-richmond-virginia-united-states,497888,NA,"$130,000-$160,000",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/program-management-coordinator-bristol-virginia-united-states-ea6c6a3b-255b-4e55-ab4d-3e4a97676646,496895,NA,"$48,000 - $78,008",General Public - G,Bristol District Office
https://www.jobs.virginia.gov/jobs/memory-care-activities-assistant-richmond-virginia-united-states,497622,NA,"$33,280 - $39,520",General Public - G,Sitter-Barfoot Veterans Care
https://www.jobs.virginia.gov/jobs/accounting-supervisor-central-administration-01557-richmond-virginia-united-states,497812,NA,"$46,305 - $72,236",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/website-administrator-sr-01482-department-of-corrections-richmond-virginia-united-states,497876,NA,"$77,175 - $127,339",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/casework-counselor-central-virginia-correctional-unit-13-13060-chesterfield-virginia-united-states-afb81a2e-64a4-42f1-a256-592c6fe029d2,497874,NA,"$42,000 - $60,675",General Public - G,Central VA Corr Unit 13
https://www.jobs.virginia.gov/jobs/fiscal-tech-senior-nottoway-correctional-center-00645-nottoway-virginia-united-states,497873,NA,"$38,000 - $54,317",General Public - G,Nottoway Correctional Center
https://www.jobs.virginia.gov/jobs/librarian-dillwyn-correctional-center-ed004-buckingham-virginia-united-states,497866,NA,"$51,626 - $72,403",General Public - G,Dillwyn Correctional Center
https://www.jobs.virginia.gov/jobs/corrections-sergeant-coffeewood-correctional-center-00162-culpepper-virginia-united-states,497863,NA,"$46,400 - $82,732",Agency Employee Only - A,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/casework-counselor-beaumont-corr-center-02134-goochland-virginia-united-states,497824,NA,"$42,000 - $60,675",General Public - G,State Farm Correctional Center
https://www.jobs.virginia.gov/jobs/casework-counselor-senior-beaumont-corr-center-02133-goochland-virginia-united-states,497822,NA,"$42,000 - $64,909",General Public - G,State Farm Correctional Center
https://www.jobs.virginia.gov/jobs/plant-manager-coffeewood-correctional-center-00122-culpepper-virginia-united-states,497818,NA,"$56,228 - $84,341",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-10-arlington-p1007-arlington-virginia-united-states,497814,NA,"$37,485 - $48,561",General Public - G,Arlington P&P
https://www.jobs.virginia.gov/jobs/office-services-assistant-human-resources-fluvanna-correctional-center-00528-fluvanna-virginia-united-states,497813,NA,"$30,000 - $38,865",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/maintenance-operator-mclean-fairfax-county-virginia-united-states,497883,NA,"$40,000-64,000",General Public - G,Merrifield Area Headquarters
https://www.jobs.virginia.gov/jobs/co-p4078-enforcement-and-data-quality-coordinator-environmental-specialist-ii-richmond-virginia-united-states,497868,5,"$55,000 - 85,000",General Public - G,Dept of Environmental Quality
https://www.jobs.virginia.gov/jobs/federal-funds-manager-richmond-virginia-united-states,497864,NA,"$81,375 - $132,235",General Public - G,Dept of Transportation
https://www.jobs.virginia.gov/jobs/business-operations-analyst-richmond-virginia-united-states,497850,NA,"Negotiable to $75,000",General Public - G,VA Information Technologies
https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states,497860,NA,"The anticipated starting salary range is $85,000 to $102,500",General Public - G,Dept of Criminal Justice Serv.
https://www.jobs.virginia.gov/jobs/school-nutrition-program-farm-to-school-specialist-richmond-virginia-united-states,497852,5,"$60,000 min. - $80,000 max",General Public - G,VDOE James Monroe Building
https://www.jobs.virginia.gov/jobs/it-service-manager-project-office-richmond-virginia-united-states,497799,NA,"$130,000 - $145,000",General Public - G,VA Information Technologies
https://www.jobs.virginia.gov/jobs/background-investigator-hanover-virginia-united-states,497853,NA,"Commensurate up to $70,000",General Public - G,DJJ Training Academy
https://www.jobs.virginia.gov/jobs/regional-lieutenant-hanover-virginia-united-states,497849,NA,"Commensurate up to $105,000",Agency Employee Only - A,DJJ Training Academy
https://www.jobs.virginia.gov/jobs/office-services-specialist-greensville-correctional-center-01004-greensville-virginia-united-states,497842,NA,"$31,200 - $41,576",General Public - G,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-senior-lunenburg-virginia-united-states,497578,4,"$38,894 - $60,000",General Public - G,PIEDMONT-LUNENBURG
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-accomac-virginia-united-states-northampton,497823,4,"$41,000 - $47,250",General Public - G,EASTERN SHORE-ACCOMACK-CEN
https://www.jobs.virginia.gov/jobs/assistant-district-land-use-manager-fairfax-county-virginia-united-states,497738,NA,"$96,000-$154,000",General Public - G,NOVA District Office
https://www.jobs.virginia.gov/jobs/food-production-worker-b-north-chesterfield-virginia-united-states,497820,2,Negotiable and Commensurate with Experience,General Public - G,"North Chesterfield, Virginia"
https://www.jobs.virginia.gov/jobs/customer-service-generalists-full-time-salary-ports-district-multi-hire-multi-work-locations-virginia-united-states-portsmouth,497643,NA,"Commensurate with experience up to $35,530",General Public - G,PORTSMOUTH DM
https://www.jobs.virginia.gov/jobs/chief-deputy-clerk-prince-william-prince-william-virginia-united-states,497821,NA,"negotiable to $66,044",Agency Employee Only - A,Prince William Gen Dist Court
https://www.jobs.virginia.gov/jobs/senior-accountant-ars00419-henrico-virginia-united-states,497800,4,Commensurate with experience,General Public - G,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/program-support-technician-peer-recovery-specialist-brunswick-ccap-01577-brunswick-virginia-united-states,497545,NA,"$33,000 - $46,444",General Public - G,Brunswick CCAP
https://www.jobs.virginia.gov/jobs/equipment-repair-technician-senior-state-farm-01587-goochland-virginia-united-states,497309,NA,"$40,021 - $62,432",General Public - G,State Farm Work Center
https://www.jobs.virginia.gov/jobs/deputy-clerk-suffolk-suffolk-virginia-united-states,497808,NA,"negotiable to $35,923",General Public - G,Suffolk General District Court
https://www.jobs.virginia.gov/jobs/suicide-prevention-coordinator-richmond-virginia-united-states,497804,NA,"$70,000-$85,000",General Public - G,JAMES MONROE BUILDING
https://www.jobs.virginia.gov/jobs/probation-officer-spotsylvania-virginia-united-states,497797,NA,"starting $53,183 (commensurate with experience)",General Public - G,15th Dist. CSU Fredericksburg
https://www.jobs.virginia.gov/jobs/hr-business-analyst-w2448-richmond-virginia-united-states,497796,5,"$50,811 - $75,000/yr.",General Public - G,DSS HOME OFFICE
https://www.jobs.virginia.gov/jobs/program-support-technician-peer-recovery-specialist-tazewell-p-p-district-43-01576-tazewell-virginia-united-states,497543,NA,"$33,000 - $46,444",General Public - G,Tazewell P&P
https://www.jobs.virginia.gov/jobs/plant-manager-augusta-correctional-center-00055-augusta-county-virginia-united-states,497433,NA,"$56,228 - $84,341",General Public - G,Augusta Correctional Center
https://www.jobs.virginia.gov/jobs/data-integration-specialist-01478-richmond-virginia-united-states,497431,NA,"$77,175 - $127,339",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/probation-officer-hanover-virginia-united-states-henrico-richmond,497788,NA,"starting $53,183 (commensurate with experience)",General Public - G,15th Dist.CSU Hanover County
https://www.jobs.virginia.gov/jobs/claims-examiner-richmond-virginia-united-states,497787,NA,"Minimum starting salary $41,368 commensurate with experience",General Public - G,RICHMOND HEADQUARTERS
