Title,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link
Veterinary Diagnostician/Laboratory Director (DVM Required) $10K Sign-On Bonus,Full-Time (Salaried),5,"Up to $115,000 annually. Excellent State Benefits.",General Public - G,Open,2023-03-16T23:55:00Z,Lynchburg,LYNCHBURG LAB-OFFICE,https://www.jobs.virginia.gov/jobs/veterinary-diagnostician-laboratory-director-dvm-required-10k-sign-on-bonus-lynchburg-virginia-united-states
Assistant District Administrator Business,Full-Time (Salaried),6,"$114,838 - $149,289",State Employee Only - E,Closed,2023-02-24T23:55:00Z,Colonial Heights,Richmond District Office,https://www.jobs.virginia.gov/jobs/assistant-district-administrator-business-colonial-heights-virginia-united-states
Legal and Regulatory Specialist,Full-Time (Salaried),NA,"$75,000 - $120,000",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/legal-and-regulatory-specialist-richmond-virginia-united-states
Staff Attorney/Supreme Court of Virginia/Office of the Chief Staff Attorney,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,2023-03-31T23:55:00Z,Richmond,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/staff-attorney-richmond-virginia-united-states
Operator Traffic - NRO Sign Crew,Full-Time (Salaried),NA,"$40,000 - $65,000",General Public - G,Closed,2023-03-02T23:55:00Z,"Manassas
  Prince William","Manassas, Mason King Ct",https://www.jobs.virginia.gov/jobs/operator-traffic-nro-sign-crew-manassas-virginia-united-states
Senior Financial Internal Controls Coordinator,Full-Time (Salaried),NA,"$62,000 - $80,800",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/senior-financial-internal-controls-coordinator-richmond-virginia-united-states
Cemetery Caretaker Manager,Full-Time (Salaried),NA,"$58,500 - $62,500",General Public - G,Closing soon,2023-03-06T23:55:00Z,Suffolk,"Suffolk, VA",https://www.jobs.virginia.gov/jobs/cemetery-caretaker-manager-richmond-virginia-united-states
Facilities Coordinator,Full-Time (Salaried),NA,"$50,000 - $55,000",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/facilities-coordinator-richmond-virginia-united-states-d6e56cc5-edfe-4b60-b4fa-27675b85e51f
Highway Maintenance Equipment Operator,Full-Time (Salaried),NA,"$30,983- $50,000 Based on Experience",General Public - G,Open,NA,Bedford County,Bedford Residency,https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-bedford-county-virginia-united-states
Human Resources Director,Full-Time (Salaried),NA,"Commensurate with Experience up to $115,000",General Public - G,Closed,2023-03-03T23:55:00Z,Chesterfield,NA,https://www.jobs.virginia.gov/jobs/human-resources-director-chesterfield-virginia-united-states
Fiscal Technician Sr,Full-Time (Salaried),NA,"$42,500 - $48,500",General Public - G,Closed,2023-02-24T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/fiscal-technician-sr-petersburg-virginia-united-states
Accountant,Full-Time (Salaried),NA,"$56,700- $61,693",General Public - G,Closed,2023-02-24T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/accountant-petersburg-virginia-united-states
Cognitive Counselor: P&P District #39 Harrisonburg #P3935,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closed,2023-02-24T23:55:00Z,"Harrisonburg
  Rockingham
  Staunton",Harrisonburg P&P,https://www.jobs.virginia.gov/jobs/cognitive-counselor-harrisonburg-virginia-united-states
Food Operations Supervisor: Cold Springs CCAP #01202,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Closed,2023-02-24T23:55:00Z,"Augusta County
  Staunton",Cold Springs CCAP,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-greenville-virginia-united-states-5a3b9e95-1c45-4b1c-9258-e964fbc2c336
Registered Nurse - Virginia Correctional Center for Women,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,"Goochland
  Richmond",Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/registered-nurse-goochland-virginia-united-states-7c4a38d2-4647-47e3-aec7-86755f15918c
Corrections Officer: River North Correctional Center #00211,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Galax
  Goochland
  Pittsylvania",River North Corr Center,https://www.jobs.virginia.gov/jobs/corrections-officer-river-north-correctional-center-galax-virginia-united-states-pittsylvania-goochland
Mental Health Clinician I - Virginia Correctional Center for Women,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,"Goochland
  Richmond",Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-goochland-virginia-united-states
Roofing and Siding Instructor: Augusta Correctional Center #ED008,Full-Time (Salaried),NA,"$52,378 - $73,456",General Public - G,Open,NA,"Outside of State
  Augusta County
  Bath
  Bedford
  Bedford County
  Buena Vista
  Covington
  Harrisonburg
  Lexington
  Rockbridge County
  Rockingham
  Stafford

            Outside of State
  Augusta County
  Bath",Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/roofing-and-siding-instructor-craigsville-virginia-united-states
Licensed Practical Nurse - Virginia Correctional Center for Women,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,"Goochland
  Richmond",Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-goochland-virginia-united-states-3f190c99-badd-4e61-bad5-1ee5740cb327
Mental Health Clinician I - State Farm Complex,Full-Time (Salaried),NA,"$55,125 - $77, 175",General Public - G,Open,NA,"Goochland
  Powhatan",State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-state-farm-virginia-united-states
Registered Nurse Coordinator - Fluvanna Correctional Center for Women,Full-Time (Salaried),NA,"$85,000 - $113,910",General Public - G,Open,NA,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-coordinator-troy-virginia-united-states
Licensed Practical Nurse - State Farm Complex,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,"Goochland
  Richmond",State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-state-farm-virginia-united-states
Registered Nurse Supervisor Senior - Fluvanna Correctional Center for Women,Full-Time (Salaried),NA,"$90,000 - $104,070",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Louisa",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-troy-virginia-united-states
Registered Nurse - Fluvanna Correctional Center for Women,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Louisa",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-troy-virginia-united-states-f7c8d8de-1089-4501-99ea-6306423aca78
Program Support Technician: (Operations) Green Rock Correctional Center #00078,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Pittsylvania,Green Rock Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-operations-chatham-virginia-united-states
Corrections Officer: (Patrol Canine) River North Correctional Center #00207,Full-Time (Salaried),NA,"$42,000",General Public - G,Closed,2023-02-24T23:55:00Z,Grayson,River North Corr Center,https://www.jobs.virginia.gov/jobs/corrections-officer-patrol-canine-river-north-correctional-center-00207-grayson-virginia-united-states
Probation Officer: Cold Springs CCAP #01198,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Closed,2023-02-24T23:55:00Z,Augusta County,Cold Springs CCAP,https://www.jobs.virginia.gov/jobs/probation-officer-cold-springs-ccap-augusta-county-virginia-united-states
Hearing Officer: Green Rock Correctional Center #00091,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closed,2023-02-24T23:55:00Z,Pittsylvania,Green Rock Correctional Center,https://www.jobs.virginia.gov/jobs/hearing-officer-green-rock-correctional-center-pittsylvania-virginia-united-states
Physician MD - Fluvanna Correctional Center for Women,Full-Time (Salaried),NA,"$157,364 - $295,843",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Gordonsville
  Louisa
  Orange

            Charlottesville
  Fluvanna
  Gordonsville",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/physician-md-troy-virginia-united-states
Electrical Teacher: Keen Mountain Correctional Center #ED007,Full-Time (Salaried),NA,"$50,780 - $71,216",General Public - G,Open,NA,"Outside of State
  Alleghany
  Bedford
  Bedford County
  Botetourt County
  Buchanan
  Lexington
  Roanoke
  Rockbridge County
  Salem

            Outside of State
  Alleghany
  Bedford",Keen Mountain Correctional Ctr,https://www.jobs.virginia.gov/jobs/electrical-teacher-oakwood-virginia-united-states
Licensed Practical Nurse - Fluvanna Correctional Center for Women,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,"Charlottesville
  Culpepper
  Fluvanna
  Gordonsville

            Charlottesville
  Culpepper
  Fluvanna",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-troy-virginia-united-states-ddb84495-b82e-4229-9433-aac1970bbb4e
Nursing Assistant (CNA) - Fluvanna Correctional Center for Women,Full-Time (Salaried),NA,"$33,000 - $43,515",General Public - G,Open,NA,"Charlottesville
  Fluvanna
  Louisa",Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/nursing-assistant-cna-troy-virginia-united-states
Mental Health Clinician I  - Coffeewood Correctional Center,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-mitchells-virginia-united-states
Licensed Practical Nurse - Buckingham Correctional Center,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-dillwyn-virginia-united-states-5482f0e7-8c89-45c9-a06f-a73ff9173cc1
Registered Nurse - Marion Correctional Center,Full-Time (Salaried),NA,"$68,000 - $91,007",General Public - G,Open,NA,Smyth,Marion Corr Treatment Ctr,https://www.jobs.virginia.gov/jobs/registered-nurse-marion-correctional-center-smyth-virginia-united-states
Registered Nurse - Green Rock Correctional Center,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Pittsylvania,Green Rock Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-green-rock-correctional-center-pittsylvania-virginia-united-states
Mental Health Clinician I -Keen Mountain Correctional Center,Full-Time (Salaried),NA,"$55,125 - $77,175",General Public - G,Open,NA,Buchanan,Keen Mountain Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-oakwood-virginia-united-states
Dentist - River North Correctional Center,Full-Time (Salaried),NA,"$115,500 - $189,277",General Public - G,Open,NA,Grayson,River North Corr Center,https://www.jobs.virginia.gov/jobs/dentist-independence-virginia-united-states
Dentist - Keen Mountain Correctional Center,Full-Time (Salaried),NA,"$115,500 - $189,277",General Public - G,Open,NA,Buchanan,Dept of Corrections,https://www.jobs.virginia.gov/jobs/dentist-oakwood-virginia-united-states
Assistant Chief Medical Examiner- Western OCME,Full-Time (Salaried),NA,"$180,000 - $255,000",General Public - G,Open,NA,"Roanoke
  Roanoke County",CHIEF MEDICAL EXAMINR-WST,https://www.jobs.virginia.gov/jobs/assistant-chief-medical-examiner-western-ocme-roanoke-virginia-united-states-roanoke-county
Corrections Officer: Wallen's Ridge State Prison #00247,Full-Time (Salaried),NA,"$43,915",General Public - G,Open,NA,"Wise, Virginia",Wallens Ridge State Prison,https://www.jobs.virginia.gov/jobs/corrections-officer-big-stone-gap-virginia-united-states
Registered Nurse - Buckingham Correctional Center,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-dillwyn-virginia-united-states-d3722def-fed5-4910-b07c-e49c379ec9a8
Registered Nurse - Bland Correctional Center,Full-Time (Salaried),NA,"$68,000 - $91,007",General Public - G,Open,NA,Bland,Bland Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-bland-virginia-united-states
Roadway Design Engineer,Full-Time (Salaried),NA,"$62,726-$87,000",General Public - G,Open,2023-03-09T23:55:00Z,Salem,Salem,https://www.jobs.virginia.gov/jobs/roadway-design-engineer-salem-virginia-united-states
Building and Grounds Superintendent B,Full-Time (Salaried),5,"Commensurate with experience up to $75,000",General Public - G,Open,NA,Richmond,FACILITIES SERVICES DIV,https://www.jobs.virginia.gov/jobs/building-and-grounds-superintendent-b-richmond-virginia-united-states
Sr. Financial Compliance Analyst,Full-Time (Salaried),NA,"$50,811-$71,096",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/sr-financial-compliance-analyst-richmond-virginia-united-states
Traffic Signals Engineer,Full-Time (Salaried),NA,"$81,000-$132,000",General Public - G,Closed,2023-03-01T23:55:00Z,Prince William,NOVA Traffic Field Ops/IS,https://www.jobs.virginia.gov/jobs/traffic-signals-engineer-prince-william-virginia-united-states
HVAC Installation & Repair Supervisor: Greensville Correctional Center #01136,Full-Time (Salaried),NA,"$46,305 - $72,236",General Public - G,Closed,2023-03-03T23:55:00Z,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/hvac-installation-repair-supervisor-greensville-correctional-center-greensville-virginia-united-states
DMV Customer Services Generalist Sr- District Floater 01232,Full-Time (Salaried),NA,"Commensurate with experience up to $44,250",Agency Employee Only - A,Closed,2023-02-26T23:55:00Z,Washington,ABINGDON CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-services-generalist-sr-district-floater-01232-washington-virginia-united-states
Maintenance Operator (Front Royal AHQ),Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,Staunton,Front Royal AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-front-royal-ahq-staunton-virginia-united-states
Customer Service Generalists - Abingdon,Full-Time (Salaried),NA,"Commensurate with experience $34,300",General Public - G,Closed,2023-02-23T23:55:00Z,Washington,ABINGDON CSC,https://www.jobs.virginia.gov/jobs/customer-service-generalists-abingdon-washington-virginia-united-states
Legal Assistant - Chesterfield,Full-Time (Salaried),NA,"$37,091.00 + State Benefits",General Public - G,Closed,2023-02-24T23:55:00Z,Chesterfield,CHESTERFIELD 326,https://www.jobs.virginia.gov/jobs/legal-assistant-chesterfield-chesterfield-virginia-united-states
MCSC Station Manager Stephen City,Full-Time (Salaried),NA,"Commensurate with experience up to $70,000",General Public - G,Closed,2023-02-23T23:55:00Z,Winchester,STEPHEN CITY SCALES,https://www.jobs.virginia.gov/jobs/mcsc-station-manager-stephen-city-winchester-virginia-united-states
Customer Service Generalist - Martinsville 00642,Full-Time (Salaried),NA,"Commensurate with experience $34,300",General Public - G,Closed,2023-02-23T23:55:00Z,Martinsville,MARTINSVILLE,https://www.jobs.virginia.gov/jobs/customer-service-generalist-martinsville-00642-martinsville-virginia-united-states
Customer Service Generalist - Covington 01703,Full-Time (Salaried),NA,"Commensurate with experience $34,300",General Public - G,Closed,2023-02-23T23:55:00Z,Covington,COVINGTON CSC,https://www.jobs.virginia.gov/jobs/customer-service-generalist-covington-01703-covington-virginia-united-states
Probation Officer,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience)",General Public - G,Closed,2023-02-26T23:55:00Z,Manassas,CSU 31 - Manassas,https://www.jobs.virginia.gov/jobs/probation-officer-manassas-virginia-united-states
Probation Officer,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience)",General Public - G,Closed,2023-02-26T23:55:00Z,Manassas,CSU 31 - Manassas,https://www.jobs.virginia.gov/jobs/probation-officer-virginia-united-states-manassas
Area Land Use Engineer,Full-Time (Salaried),NA,"$93,973 - $152,706",General Public - G,Closed,2023-02-23T23:55:00Z,Fauquier County,Warrenton Residency,https://www.jobs.virginia.gov/jobs/area-land-use-engineer-fauquier-county-virginia-united-states
Office Services Specialist,Full-Time (Salaried),NA,"$26,853 - $31,000",General Public - G,Closed,2023-03-03T23:55:00Z,Buchanan,CUMB PLATEAU-BUCHANAN,https://www.jobs.virginia.gov/jobs/office-services-specialist-buchanan-virginia-united-states
System Administrator,Full-Time (Salaried),NA,"$68,000 - $78,000",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/system-administrator-richmond-virginia-united-states
PH Nurse,Full-Time (Salaried),NA,"$56,025 - $70,000",General Public - G,Closing soon,2023-03-08T23:55:00Z,Prince William,PRINCE WILLIAM-WOODBRIDGE,https://www.jobs.virginia.gov/jobs/ph-nurse-prince-william-virginia-united-states
Engineer Supervisor Structure & Bridge Inspection,Full-Time (Salaried),NA,"$72,738 - $118,200",General Public - G,Closed,2023-03-01T23:55:00Z,Colonial Heights,Richmond District Office,https://www.jobs.virginia.gov/jobs/engineer-supervisor-structure-bridge-inspection-colonial-heights-virginia-united-states
Park Ranger - Natural Bridge State Park,Full-Time (Salaried),NA,"$31,746 - $44,148",General Public - G,Closed,2023-02-28T23:55:00Z,Rockbridge County,Natural Bridge State Park,https://www.jobs.virginia.gov/jobs/park-ranger-natural-bridge-state-park-rockbridge-county-virginia-united-states
Scheduler,Full-Time (Salaried),NA,"$45,000 to $55,000",General Public - G,Open,NA,Richmond,Office of the Lt. Governor,https://www.jobs.virginia.gov/jobs/scheduler-richmond-virginia-united-states
Equipment Repair Technician I - Northern Neck,Full-Time (Salaried),NA,"$44,047 - $60,565",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond County,Warsaw Shop,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-i-northern-neck-richmond-county-virginia-united-states
Bridge Maintenance Crew Member Caroline & Middlesex,Full-Time (Salaried),NA,"$40,000 - $63,000",General Public - G,Closed,2023-03-01T23:55:00Z,Caroline,Fredericksburg District Office,https://www.jobs.virginia.gov/jobs/bridge-maintenance-crew-member-caroline-middlesex-caroline-virginia-united-states
Spanish Language Court Interpreter - Fauquier,Full-Time (Salaried),NA,"negotiable to $65,000",General Public - G,Open,NA,Fauquier County,Fauquier General District Ct,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fauquier-fauquier-county-virginia-united-states
Benefits Assistant,Full-Time (Salaried),3,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-03-01T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/benefits-assistant-north-chesterfield-virginia-united-states
"Program Manager, Office of Agriculture & Forestry Development",Full-Time (Salaried),6,"Up to $102,000 annually. Excellent State Benefits",General Public - G,Closing soon,2023-03-08T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/program-manager-office-of-agriculture-forestry-development-richmond-virginia-united-states
Office Services Specialist: Indian Creek Ctr #00161,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Closed,2023-03-01T23:55:00Z,Chesapeake,Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/office-services-specialist-indian-creek-ctr-00161-chesapeake-virginia-united-states
Application Programmer/Analyst Senior ($5000.00 Sign On Bonus),Full-Time (Salaried),NA,"Commensurate up to $110,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,Central Office,https://www.jobs.virginia.gov/jobs/application-programmer-analyst-senior-5000-00-sign-on-bonus-richmond-virginia-united-states
Storekeeper Supervisor:  Indian Creek Correctional Ctr #00325,Full-Time (Salaried),NA,"$31,850 - $49,686",General Public - G,Closed,2023-03-01T23:55:00Z,Chesapeake,Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/storekeeper-supervisor-indian-creek-correctional-ctr-00325-chesapeake-virginia-united-states
VRO - P0170 - VWP Specialist,Full-Time (Salaried),NA,"$50,811 - $82,000",General Public - G,Closed,2023-03-01T23:55:00Z,Harrisonburg,Valley Regional Office,https://www.jobs.virginia.gov/jobs/vro-p0170-vwp-specialist-harrisonburg-virginia-united-states
Corrections Officer: Greensville Correctional Center,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-greensville-correctional-center-greensville-virginia-united-states
Corrections Officer: Sussex I and II State Prison Complex,Full-Time (Salaried),NA,"$43,915",General Public - G,Open,NA,"Surry
  Sussex",NA,https://www.jobs.virginia.gov/jobs/corrections-officer-sussex-i-and-ii-state-prison-complex-surry-virginia-united-states-sussex
Senior Software QA Analyst,Full-Time (Salaried),NA,"$58,900 - $88,350, salary commensurate with experience",General Public - G,Closed,2023-03-02T23:55:00Z,Richmond,RICHMOND HEADQUARTERS,https://www.jobs.virginia.gov/jobs/senior-software-qa-analyst-richmond-virginia-united-states
Chief Ranger Law Enforcement - Widewater State Park,Full-Time (Salaried),NA,"$40,000 - $60,289",General Public - G,Closed,2023-02-27T23:55:00Z,Stafford,Widewater State Park,https://www.jobs.virginia.gov/jobs/chief-ranger-law-enforcement-widewater-state-park-stafford-virginia-united-states
Corrections Sergeant: Augusta Correctional Center #00693,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Closed,2023-02-24T23:55:00Z,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-sergeant-augusta-correctional-center-augusta-county-virginia-united-states
Corrections Officer: River North Correctional Center #00378,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Grayson,River North Corr Center,https://www.jobs.virginia.gov/jobs/corrections-officer-river-north-correctional-center-grayson-virginia-united-states
Corrections Officer: Bland Correctional Center #00313,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Bland,Bland Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-bland-correctional-center-bland-virginia-united-states
Corrections Officer: Keen Mountain Correctional Center #00253,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Buchanan,Keen Mountain Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-keen-mountain-correctional-center-buchanan-virginia-united-states
Corrections Officer: Pocahontas St Correctional Center #00373,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Tazewell,Pocahontas State Corr Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-pocahontas-st-correctional-center-tazewell-virginia-united-states
Corrections Officer: Green Rock Correctional Center #00203,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Pittsylvania,Green Rock Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-green-rock-correctional-center-pittsylvania-virginia-united-states
Corrections Officer: Harrisonburg CCAP #01370,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Harrisonburg
  Rockingham
  Shenandoah",Harrisonburg CCAP,https://www.jobs.virginia.gov/jobs/corrections-officer-harrisonburg-ccap-harrisonburg-virginia-united-states-rockingham-shenandoah
Corrections Officer: Red Onion State Prison #00560,Full-Time (Salaried),NA,"$43,915",General Public - G,Open,NA,"Wise, Virginia",Red Onion State Prison,https://www.jobs.virginia.gov/jobs/corrections-officer-pound-virginia-united-states
Corrections Officer: Cold Springs CCAP #01179,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Augusta County,Cold Springs CCAP,https://www.jobs.virginia.gov/jobs/corrections-officer-cold-springs-ccap-greenville-virginia-united-states
Corrections Officer: Augusta Correctional Center #00111,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Albemarle County
  Alleghany
  Amherst
  Augusta County
  Covington

            Albemarle County
  Alleghany
  Amherst",Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-craigsville-virginia-united-states
Casework Counselor: Augusta Correctional Center #00073,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Closed,2023-02-24T23:55:00Z,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/casework-counselor-augusta-correctional-center-augusta-county-virginia-united-states
Cognitive Counselor: P&P District #13 Lynchburg #P1347,Full-Time (Salaried),NA,"$42,000 - $64,909",Agency Employee Only - A,Closed,2023-02-24T23:55:00Z,Lynchburg,Lynchburg P&P,https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-13-lynchburg-lynchburg-virginia-united-states
Business Software Applications Teacher:  Augusta Correctional Center #ED003,Full-Time (Salaried),NA,"$52,378 - $73,456",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/business-software-applications-teacher-craigsville-virginia-united-states
Casework Counselor: Cold Springs Correctional Unit 10 #10041,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Closed,2023-02-24T23:55:00Z,Augusta County,Cold Springs Corr Unit 10,https://www.jobs.virginia.gov/jobs/casework-counselor-cold-springs-correctional-unit-10-augusta-county-virginia-united-states
Human Resources Business Partner,Full-Time (Salaried),NA,"$75,000 - $80,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/human-resources-business-partner-richmond-virginia-united-states
Construction Inspector Senior,Full-Time (Salaried),NA,"$55,574 - $90,308",General Public - G,Closed,2023-03-03T23:55:00Z,"Mecklenburg
  Petersburg",South Hill Residency,https://www.jobs.virginia.gov/jobs/construction-inspector-senior-mecklenburg-virginia-united-states-petersburg
Senior Program Analyst - Asset Management Division,Full-Time (Salaried),NA,"$101,719 - $132,235",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-program-analyst-asset-management-division-richmond-virginia-united-states
Civil Engineer - Land Development,Full-Time (Salaried),NA,"$77,102 - $115,000",General Public - G,Closed,2023-02-23T23:55:00Z,Fauquier County,Warrenton Residency,https://www.jobs.virginia.gov/jobs/civil-engineer-land-development-warrenton-virginia-united-states
