Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Web Developer - #ARS00822,Department for Aging & Rehab Svcs,Full-Time (Salaried),NA,"$38,894 - $75,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/web-developer-ars00822-henrico-virginia-united-states,2023-02-23
Application Developer/Analyst - #ARS00225,Department for Aging & Rehab Svcs,Full-Time (Salaried),6,"$66,380 - $110,000.00",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00225-henrico-virginia-united-states,2023-02-23
Application Developer / Analyst - #ARS00229,Department for Aging & Rehab Svcs,Full-Time (Salaried),6,"$66,380 - $110,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00229-henrico-virginia-united-states,2023-02-23
Financial Analyst,Department of Motor Vehicles,Full-Time (Salaried),5,"Commensurate with experience, up to $65,000",State Employee Only - E,Closing soon,2023-03-08T23:55:00Z,Richmond,BUDGET,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states-b24d058c-13cb-4ab1-838d-b78082acd1cc,2023-02-23
Mental Health Clinician II SORT: Greensville,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$66,150 - $108,045",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-ii-sort-greensville-greensville-virginia-united-states,2023-02-23
Mental Health Clinician I SORT: Greensville,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-sort-greensville-greensville-virginia-united-states,2023-02-23
Customer Advocate (Agency Employees Only),Virginia Employment Commission,Full-Time (Salaried),NA,"$42,000",Agency Employee Only - A,Open,NA,"Arlington
  Charlottesville
  Fredericksburg
  Henrico
  Prince William
  Staunton
  Waynesboro

            Arlington
  Charlottesville
  Fredericksburg",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/customer-advocate-agency-employees-only-richmond-virginia-united-states,2023-02-23
Sr. IT Auditor - Internal,Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience, up to 95,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,INTERNAL AUDIT,https://www.jobs.virginia.gov/jobs/sr-it-auditor-internal-richmond-virginia-united-states,2023-02-23
Assistant District Bridge Design Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Closing soon,2023-03-08T00:00:00Z,Staunton,Staunton District Office,https://www.jobs.virginia.gov/jobs/assistant-district-bridge-engineer-staunton-virginia-united-states,2023-02-23
Federal Aid and Grants Manager,Department of Wildlife Resources,Full-Time (Salaried),5,"starting at $70,000 (salary will be commensurate with experience)",General Public - G,Open,2023-03-10T23:55:00Z,Henrico,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/federal-aid-and-grants-manager-henrico-virginia-united-states,2023-02-23
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience).",General Public - G,Closing soon,2023-03-08T23:55:00Z,Alexandria,Alexandria J&DR Court,https://www.jobs.virginia.gov/jobs/probation-officer-alexandria-virginia-united-states,2023-02-23
"Senior Bridge Engineer, Safety Inspection – Lynchburg District",VA Department of Transportation,Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Open,2023-03-31T23:55:00Z,Lynchburg,Lynchburg District Office,https://www.jobs.virginia.gov/jobs/senior-bridge-engineer-safety-inspection-lynchburg-district-lynchburg-virginia-united-states,2023-02-23
Maintenance Operator - NOVA Maintenance Specialty Crew - Fairfax,VA Department of Transportation,Full-Time (Salaried),NA,"$40,000 - $64,500",General Public - G,Closing soon,2023-03-08T23:55:00Z,Fairfax County,Burke AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-nova-maintenance-specialty-crew-fairfax-fairfax-county-virginia-united-states,2023-02-23
Accountant,Department of Motor Vehicles,Full-Time (Salaried),4,"Commensurate with experience, up to $48,000.",Agency Employee Only - A,Closing soon,2023-03-08T23:55:00Z,Richmond,ACCOUNTS RECEIVABLE,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-f8a69b37-4188-4807-ba5b-a49db80a577a,2023-02-23
Highway Maintenance Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$41,886 - $68,065",General Public - G,Closing soon,2023-03-08T23:55:00Z,Albemarle County,Keene AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-albemarle-county-virginia-united-states,2023-02-23
DMV Customer Service Center Assistant Manager,Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience up to $56,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Williamsburg,WILLIAMSBURG CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-williamsburg-virginia-united-states,2023-02-23
Project Specialist Senior -Project Manager Location and Design,VA Department of Transportation,Full-Time (Salaried),NA,"$78,918-$108,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Salem,Salem District Office,https://www.jobs.virginia.gov/jobs/project-specialist-senior-project-manager-location-and-design-salem-virginia-united-states,2023-02-23
"Investigator, Tobacco Enforcement Section (OAG00422)- Northern Virginia",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Fairfax,NORTHERN VIRGINIA,https://www.jobs.virginia.gov/jobs/investigator-tobacco-enforcement-section-oag00422-northern-virginia-fairfax-virginia-united-states,2023-02-23
Director of Community Engagement (Marketing & Admissions),Department of Veterans Services,Full-Time (Salaried),NA,"$45,000 - $90,000",General Public - G,Open,2023-03-10T23:55:00Z,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/director-of-community-engagement-marketing-admissions-roanoke-virginia-united-states,2023-02-23
Receiver/Delivery Driver - Ft. Belvoir VIB Base Supply Store - #BVIIS175,Department for Blind/Vision Impaired,Full-Time (Salaried),Non-Classified,"Salary Range $34,200 - $46,000",General Public - G,Open,NA,Fairfax County,Blind & Vision Impaired (NOVA),https://www.jobs.virginia.gov/jobs/receiver-delivery-driver-ft-belvoir-vib-base-supply-store-bviis175-fairfax-county-virginia-united-states,2023-02-23
Resource Specialist -South Hill,Department of Veterans Services,Full-Time (Salaried),NA,"$40,000-$50,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Mecklenburg,"South Hill, Virginia",https://www.jobs.virginia.gov/jobs/resource-specialist-south-hill-mecklenburg-virginia-united-states,2023-02-23
Executive Secretary: Buckingham Correctional Center #00004,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,2023-03-10T23:55:00Z,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/executive-secretary-buckingham-correctional-center-00004-buckingham-virginia-united-states,2023-02-23
Highway Maintenance Crew Member,VA Department of Transportation,Full-Time (Salaried),NA,"$40,000 - 53,633",General Public - G,Closing soon,2023-03-07T23:55:00Z,Louisa,Zion Crossroads AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-louisa-virginia-united-states,2023-02-23
Area Forester-Southern Rivers District,Department of Forestry,Full-Time (Salaried),NA,"Starting at $40,000.00+ with benefits",General Public - G,Closing soon,2023-03-08T23:55:00Z,Halifax,Central Office Halifax,https://www.jobs.virginia.gov/jobs/area-forester-southern-rivers-district-halifax-virginia-united-states,2023-02-23
"Benefits Claims Specialist - Roanoke, VA",Department of Veterans Services,Full-Time (Salaried),NA,"Up to $55,000",Agency Employee Only - A,Closing soon,2023-03-07T23:55:00Z,Roanoke,NA,https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states-c00f5d3e-3080-47d3-9c5a-d33c252eb097,2023-02-23
"Benefits Claims Specialist - Roanoke, VA",Department of Veterans Services,Full-Time (Salaried),NA,"Up to $55, 000",Agency Employee Only - A,Closing soon,2023-03-07T23:55:00Z,Roanoke,"Roanoke, VA",https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states,2023-02-23
Accounts Payable Technician - AF056,Department of General Services,Full-Time (Salaried),NA,"$40,000 - $55,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/accounts-payable-technician-af056-richmond-virginia-united-states,2023-02-23
Auditor,VA Department of Transportation,Full-Time (Salaried),NA,"$53,984 to $67,480",General Public - G,Closing soon,2023-03-08T23:55:00Z,Richmond,Annex Building,https://www.jobs.virginia.gov/jobs/auditor-richmond-virginia-united-states-e3aa5a27-1eda-410c-9085-2d3de55262c9,2023-02-23
Senior Roadway Design Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$89,000 - $105,000",General Public - G,Open,2023-03-21T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-roadway-design-engineer-richmond-virginia-united-states,2023-02-23
Data Specialist,Marine Resources Commission,Full-Time (Salaried),NA,"$43,000-$52,000",General Public - G,Open,2023-03-19T12:00:00Z,Hampton,main location,https://www.jobs.virginia.gov/jobs/data-specialist-hampton-virginia-united-states,2023-02-23
Seafood Dealer Specialist,Marine Resources Commission,Full-Time (Salaried),NA,"$33,000-$41,000",General Public - G,Open,2023-03-19T12:00:00Z,Hampton,main location,https://www.jobs.virginia.gov/jobs/seafood-dealer-specialist-hampton-virginia-united-states,2023-02-23
School Safety Manager,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $105,000; $5,000 Sign-on Bonus",General Public - G,Open,NA,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/school-safety-manager-chesterfield-virginia-united-states,2023-02-23
Fiscal Technician,Frontier Culture Museum of VA,Full-Time (Salaried),NA,"$41,000-46,000",General Public - G,Open,2023-04-21T23:55:00Z,"Rockbridge County
  Shenandoah
  Staunton
  Waynesboro

            Rockbridge County
  Shenandoah
  Staunton",Frontier Culture Museum of Va,https://www.jobs.virginia.gov/jobs/fiscal-technician-rockbridge-county-virginia-united-states-shenandoah-staunton-waynesboro,2023-02-23
Chief Ranger Law Enforcement - Belle Isle State Park,Department Conservation & Recreation,Full-Time (Salaried),NA,"$40,000 - $60,289",General Public - G,Closing soon,2023-03-08T23:55:00Z,Lancaster,Belle Isle State Park,https://www.jobs.virginia.gov/jobs/chief-ranger-law-enforcement-belle-isle-state-park-lancaster-virginia-united-states,2023-02-23
Defined Contribution Plans Administration and Services Supervisor (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,"$80,000 - $86,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/defined-contribution-plans-administration-and-services-supervisor-hybrid-richmond-virginia-united-states,2023-02-23
Agriculture and Foreign Labor Specialist,Virginia Employment Commission,Full-Time (Salaried),NA,"$45,000 - $55,000 annually",General Public - G,Open,NA,"Amelia
  Appomattox
  Brunswick
  Cumberland
  Emporia
  Greensville
  Henrico
  Lunenburg
  Mecklenburg
  Nottoway
  Powhatan
  Prince Edward

            Amelia
  Appomattox
  Brunswick",EMPORIA,https://www.jobs.virginia.gov/jobs/agriculture-and-foreign-labor-specialist-emporia-virginia-united-states,2023-02-23
"Regional Marketing Specialist (food, agricultural and forest products)",Agriculture & Consumer Svcs,Full-Time (Salaried),5,"Up to $75,600 annually",General Public - G,Open,2023-03-24T23:55:00Z,Wythe,WYTHEVILLE LAB-OFFICE,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-forest-products-wythe-virginia-united-states,2023-02-23
Grants Specialist,Agriculture & Consumer Svcs,Full-Time (Salaried),5,"Up to $70,000 annually",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/grants-specialist-richmond-virginia-united-states,2023-02-23
Director of Rehabilitation Teaching and Independent Living - #BVI00017,Department for Blind/Vision Impaired,Full-Time (Salaried),5,"Minimum starting salary at $68,000 commensurate with exp commensurate with experience",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/director-of-rehabilitation-teaching-and-independent-living-bvi00017-henrico-virginia-united-states,2023-02-23
Braille Transcriber - #BVI00182,Department for Blind/Vision Impaired,Full-Time (Salaried),3,"$29,772 - $41,400",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/braille-transcriber-bvi00182-henrico-virginia-united-states,2023-02-23
Plumbing/Pipefitting Teacher: St. Brides Correctional Center #ED013,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$56,786 - $79,639",General Public - G,Open,NA,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/plumbing-pipefitting-teacher-st-brides-correctional-center-ed013-chesapeake-virginia-united-states,2023-02-23
Chief Financial Officer - #ARS00646,Department for Aging & Rehab Svcs,Full-Time (Salaried),7,Commensurate with experience - Projected Salary in the $150s,General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/chief-financial-officer-ars00646-henrico-virginia-united-states,2023-02-23
Environmental Health Specialist Sr.,Department of Health,Full-Time (Salaried),4,"$42,000 - $58,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Culpepper,RAP-RAP-CULPEPER,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-culpepper-virginia-united-states,2023-02-23
Public Health Nurse (RN),Department of Health,Full-Time (Salaried),4,"$60,900 - $67,250",General Public - G,Closing soon,2023-03-07T23:55:00Z,Culpepper,RAP-RAP-CULPEPER,https://www.jobs.virginia.gov/jobs/public-health-nurse-rn-culpepper-virginia-united-states,2023-02-23
Program Management Coordinator,VA Department of Transportation,Full-Time (Salaried),NA,"$48,000 - $78,008",General Public - G,Open,2023-03-10T23:55:00Z,NA,Bristol District Office,https://www.jobs.virginia.gov/jobs/program-management-coordinator-bristol-virginia-united-states-ea6c6a3b-255b-4e55-ab4d-3e4a97676646,2023-02-23
Financial Analyst,Department of Criminal Justice Svcs,Full-Time (Salaried),NA,"The anticipated starting salary range is $85,000 to $102,500",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Dept of Criminal Justice Serv.,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states,2023-02-23
School Nutrition Program Farm to School Specialist,Department of Ed Central Operations,Full-Time (Salaried),5,"$60,000 min. - $80,000 max",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/school-nutrition-program-farm-to-school-specialist-richmond-virginia-united-states,2023-02-23
Environmental Health Specialist Senior,Department of Health,Full-Time (Salaried),4,"$38,894 - $60,000",General Public - G,Open,NA,Lunenburg,PIEDMONT-LUNENBURG,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-senior-lunenburg-virginia-united-states,2023-02-23
Assistant District Land Use Manager,VA Department of Transportation,Full-Time (Salaried),NA,"$96,000-$154,000",General Public - G,Closing soon,2023-03-09T23:55:00Z,Fairfax County,NOVA District Office,https://www.jobs.virginia.gov/jobs/assistant-district-land-use-manager-fairfax-county-virginia-united-states,2023-02-23
Mental Health Clinician I - Dillwyn Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125 - $77,175",General Public - G,Open,NA,Buckingham,Dillwyn Correctional Center,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-dillwyn-correctional-center-buckingham-virginia-united-states,2023-02-23
Accountant III (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,"$75,000 - $90,000",General Public - G,Open,2023-03-23T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/accountant-iii-hybrid-richmond-virginia-united-states,2023-02-23
Lead Horticulturist,Virginia Museum of Fine Arts,Full-Time (Salaried),NA,"$45,000 - $50,000",General Public - G,Open,NA,Richmond,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/lead-horticulturist-richmond-virginia-united-states,2023-02-23
Equipment Repair Supervisor: St. Brides Correctional Center #00008,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,659 - $68,108",General Public - G,Open,NA,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/equipment-repair-supervisor-chesapeake-virginia-united-states,2023-02-23
Casework Counselor Senior: St. Brides Correctional Center #00427,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",Agency Employee Only - A,Open,NA,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-chesapeake-virginia-united-states,2023-02-23
Fiscal Technician: St. Brides Correctional Center #00322,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/fiscal-technician-st-brides-correctional-center-chesapeake-virginia-united-states,2023-02-23
Adult Education Teacher: Greensville Correctional Center #ED011,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$58,092 - $83,019",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/adult-education-teacher-jarratt-virginia-united-states,2023-02-23
Upholstery Teacher: Greensville Correctional Center #ED018,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$58,093 - $81,471",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/upholstery-teacher-jarratt-virginia-united-states,2023-02-23
Corrections Sergeant (Multiple Vacancies): Greensville Correctional Center #00072,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-sergeant-greensville-correctional-center-00072-greensville-virginia-united-states,2023-02-23
Corrections Lieutenant (Multiple Vacancies): Greensville Correctional Center #00059,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$51,240 - $89,223",Agency Employee Only - A,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-greensville-correctional-center-00059-greensville-virginia-united-states,2023-02-23
Food Operations Supervisor (Multiple Vacancies): Greensville Correctional Center #01231,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-multiple-vacancies-jarratt-virginia-united-states,2023-02-23
P0700 - Environmental Specialist II (Business Analyst),Department of Environmental Quality,Full-Time (Salaried),NA,"$58,391 -$90,000",General Public - G,Open,NA,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/p0700-environmental-specialist-ii-business-analyst-richmond-virginia-united-states,2023-02-23
Help Desk Technician,Department of Military Affairs,Full-Time (Salaried),NA,"$48,000-$53,000",General Public - G,Open,NA,Chesterfield,Richmond DSCR,https://www.jobs.virginia.gov/jobs/help-desk-technician-chesterfield-virginia-united-states,2023-02-23
Utilities Trades Tech Sr,Department of Military Affairs,Full-Time (Salaried),NA,"$45,000-$50,000",General Public - G,Open,NA,Nottoway,Dept� of Military Affairs,https://www.jobs.virginia.gov/jobs/utilities-trades-tech-sr-blackstone-virginia-united-states,2023-02-23
Maintenance Infrastructure Manager – Lynchburg District,VA Department of Transportation,Full-Time (Salaried),NA,"$78,918 – $128,242",General Public - G,Open,NA,Lynchburg,Lynchburg District Office,https://www.jobs.virginia.gov/jobs/maintenance-infrastructure-manager-lynchburg-district-lynchburg-virginia-united-states,2023-02-23
Life Safety Systems Technician,Virginia Museum of Fine Arts,Full-Time (Salaried),NA,"$47,000 - $52,000 annually",General Public - G,Open,NA,Richmond,MAIN MUSEUM,https://www.jobs.virginia.gov/jobs/life-safety-systems-technician-richmond-virginia-united-states,2023-02-23
Attorney - Senior Assistant Public Defender - Chesterfield,Indigent Defense Commission,Full-Time (Salaried),NA,"$78,465.00 + State Benefits",General Public - G,Closing soon,2023-03-09T23:55:00Z,Chesterfield,CHESTERFIELD 326,https://www.jobs.virginia.gov/jobs/attorney-senior-assistant-public-defender-chesterfield-chesterfield-virginia-united-states,2023-02-23
Maintenance Operator (Toms Brook),VA Department of Transportation,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,Shenandoah,Toms Brook Area Headquarters,https://www.jobs.virginia.gov/jobs/maintenance-operator-toms-brook-shenandoah-virginia-united-states,2023-02-23
Web Application Developer Analyst,Department of Social Services,Full-Time (Salaried),NA,"$96,956 - $115,779 (salary commensurate with experience)",General Public - G,Closing soon,2023-03-08T23:55:00Z,Richmond,Dept of Social Services,https://www.jobs.virginia.gov/jobs/web-application-developer-analyst-richmond-virginia-united-states,2023-02-23
Attorney - Assistant Public Defender I/II - Chesterfield,Indigent Defense Commission,Full-Time (Salaried),NA,"$58,492.00 / $67,052.00 + State Benefits",General Public - G,Closing soon,2023-03-09T23:55:00Z,Chesterfield,CHESTERFIELD 326,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-chesterfield-chesterfield-virginia-united-states,2023-02-23
Mitigation Specialist - Suffolk,Indigent Defense Commission,Full-Time (Salaried),NA,"$52,990.00 + State Benefits",General Public - G,Closing soon,2023-03-09T23:55:00Z,Suffolk,SUFFOLK 314,https://www.jobs.virginia.gov/jobs/mitigation-specialist-suffolk-suffolk-virginia-united-states,2023-02-23
Mitigation Specialist - Hampton,Indigent Defense Commission,Full-Time (Salaried),NA,"$52,990.00 + State Benefits",General Public - G,Closing soon,2023-03-09T23:55:00Z,Hampton,HAMPTON 325,https://www.jobs.virginia.gov/jobs/mitigation-specialist-hampton-hampton-virginia-united-states,2023-02-23
Veterinary Diagnostician/Laboratory Director (DVM Required) $10K Sign-On Bonus,Agriculture & Consumer Svcs,Full-Time (Salaried),5,"Up to $115,000 annually. Excellent State Benefits.",General Public - G,Open,2023-03-16T23:55:00Z,Lynchburg,LYNCHBURG LAB-OFFICE,https://www.jobs.virginia.gov/jobs/veterinary-diagnostician-laboratory-director-dvm-required-10k-sign-on-bonus-lynchburg-virginia-united-states,2023-02-23
