Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Customer Advocate (Agency Employees Only),Virginia Employment Commission,Full-Time (Salaried),NA,"$42,000",Agency Employee Only - A,Open,NA,"Arlington
  Charlottesville
  Fredericksburg
  Henrico
  Prince William
  Staunton
  Waynesboro

            Arlington
  Charlottesville
  Fredericksburg",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/customer-advocate-agency-employees-only-richmond-virginia-united-states,2023-02-23
Human Resources Consultant Sr,VA Department of Transportation,Full-Time (Salaried),NA,"$70,310-$114,254",General Public - G,Closed,2023-03-06T23:55:00Z,"Roanoke
  Roanoke County
  Salem",Salem,https://www.jobs.virginia.gov/jobs/human-resources-consultant-sr-roanoke-virginia-united-states-roanoke-county-salem,2023-02-23
Maintenance Crew Leader,VA Department of Transportation,Full-Time (Salaried),NA,"$43,000-$70,000",General Public - G,Closed,2023-03-06T23:55:00Z,Fairfax County,Merrifield Area Headquarters,https://www.jobs.virginia.gov/jobs/maintenance-crew-leader-fairfax-county-virginia-united-states,2023-02-23
Deputy Clerk - Henry/Martinsville,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-02-24T23:55:00Z,Martinsville,CSU 21 - Martinsville CSU,https://www.jobs.virginia.gov/jobs/deputy-clerk-henry-martinsville-martinsville-virginia-united-states,2023-02-23
Sr. IT Auditor - Internal,Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience, up to 95,000",General Public - G,Closed,2023-03-07T23:55:00Z,Richmond,INTERNAL AUDIT,https://www.jobs.virginia.gov/jobs/sr-it-auditor-internal-richmond-virginia-united-states,2023-02-23
Assistant District Bridge Design Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Closed,2023-03-08T00:00:00Z,Staunton,Staunton District Office,https://www.jobs.virginia.gov/jobs/assistant-district-bridge-engineer-staunton-virginia-united-states,2023-02-23
Federal Aid and Grants Manager,Department of Wildlife Resources,Full-Time (Salaried),5,"starting at $70,000 (salary will be commensurate with experience)",General Public - G,Closing soon,2023-03-10T23:55:00Z,Henrico,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/federal-aid-and-grants-manager-henrico-virginia-united-states,2023-02-23
Environmental Health Specialist,Department of Health,Full-Time (Salaried),4,"$38,894 - $56,000",General Public - G,Closed,2023-03-01T23:55:00Z,"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",THREE RIVERS-NORTHUMBERLND,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-45d9fc56-e996-4061-a2d7-a5168a120c8f,2023-02-23
Environmental Health Specialist,Department of Health,Full-Time (Salaried),4,"$38,894 - $56,000",General Public - G,Closed,2023-03-01T23:55:00Z,"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",THREE RIVERS-GLOUCESTER,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-westmoreland,2023-02-23
DPB Associate Director,Department of Planning and Budget,Full-Time (Salaried),7,"$120,000 - $155,000",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond,Dept of Planning Budget,https://www.jobs.virginia.gov/jobs/dpb-associate-director-richmond-virginia-united-states,2023-02-23
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience).",General Public - G,Closed,2023-03-08T23:55:00Z,Alexandria,Alexandria J&DR Court,https://www.jobs.virginia.gov/jobs/probation-officer-alexandria-virginia-united-states,2023-02-23
Communications Technician,Department of State Police,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"Culpeper, Virginia",https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathe-9bde3ef7-96c1-4bf3-90ec-7b0205420ee2,2023-02-23
"Senior Bridge Engineer, Safety Inspection – Lynchburg District",VA Department of Transportation,Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Open,2023-03-31T23:55:00Z,Lynchburg,Lynchburg District Office,https://www.jobs.virginia.gov/jobs/senior-bridge-engineer-safety-inspection-lynchburg-district-lynchburg-virginia-united-states,2023-02-23
Maintenance Operator - NOVA Maintenance Specialty Crew - Fairfax,VA Department of Transportation,Full-Time (Salaried),NA,"$40,000 - $64,500",General Public - G,Closed,2023-03-08T23:55:00Z,Fairfax County,Burke AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-nova-maintenance-specialty-crew-fairfax-fairfax-county-virginia-united-states,2023-02-23
Accountant,Department of Motor Vehicles,Full-Time (Salaried),4,"Commensurate with experience, up to $48,000.",Agency Employee Only - A,Closed,2023-03-08T23:55:00Z,Richmond,ACCOUNTS RECEIVABLE,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-f8a69b37-4188-4807-ba5b-a49db80a577a,2023-02-23
Highway Maintenance Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$41,886 - $68,065",General Public - G,Closed,2023-03-08T23:55:00Z,Albemarle County,Keene AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-albemarle-county-virginia-united-states,2023-02-23
Environmental Health Specialist I,Department of Health,Full-Time (Salaried),NA,"$38,894 - $44,100",General Public - G,Closed,2023-03-03T23:55:00Z,Fredericksburg,RAPPAHANNOCK-FREDERICKSBURG,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-i-fredericksburg-virginia-united-states,2023-02-23
DMV Customer Service Center Assistant Manager,Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience up to $56,000",General Public - G,Closed,2023-03-07T23:55:00Z,Williamsburg,WILLIAMSBURG CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-williamsburg-virginia-united-states,2023-02-23
Project Specialist Senior -Project Manager Location and Design,VA Department of Transportation,Full-Time (Salaried),NA,"$78,918-$108,000",General Public - G,Closed,2023-03-07T23:55:00Z,Salem,Salem District Office,https://www.jobs.virginia.gov/jobs/project-specialist-senior-project-manager-location-and-design-salem-virginia-united-states,2023-02-23
"Investigator, Tobacco Enforcement Section (OAG00422)- Northern Virginia",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Fairfax,NORTHERN VIRGINIA,https://www.jobs.virginia.gov/jobs/investigator-tobacco-enforcement-section-oag00422-northern-virginia-fairfax-virginia-united-states,2023-02-23
Director of Community Engagement (Marketing & Admissions),Department of Veterans Services,Full-Time (Salaried),NA,"$45,000 - $90,000",General Public - G,Closing soon,2023-03-10T23:55:00Z,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/director-of-community-engagement-marketing-admissions-roanoke-virginia-united-states,2023-02-23
Receiver/Delivery Driver - Ft. Belvoir VIB Base Supply Store - #BVIIS175,Department for Blind/Vision Impaired,Full-Time (Salaried),Non-Classified,"Salary Range $34,200 - $46,000",General Public - G,Open,NA,Fairfax County,Blind & Vision Impaired (NOVA),https://www.jobs.virginia.gov/jobs/receiver-delivery-driver-ft-belvoir-vib-base-supply-store-bviis175-fairfax-county-virginia-united-states,2023-02-23
Resource Specialist -South Hill,Department of Veterans Services,Full-Time (Salaried),NA,"$40,000-$50,000",General Public - G,Closed,2023-03-07T23:55:00Z,Mecklenburg,"South Hill, Virginia",https://www.jobs.virginia.gov/jobs/resource-specialist-south-hill-mecklenburg-virginia-united-states,2023-02-23
Executive Secretary: Buckingham Correctional Center #00004,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Closing soon,2023-03-10T23:55:00Z,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/executive-secretary-buckingham-correctional-center-00004-buckingham-virginia-united-states,2023-02-23
Talent Acquisition Specialist,VA Department of Transportation,Full-Time (Salaried),NA,"$75,062 to $95,000",General Public - G,Closed,2023-03-05T23:55:00Z,Suffolk,Hampton Roads District Office,https://www.jobs.virginia.gov/jobs/talent-acquisition-specialist-suffolk-virginia-united-states,2023-02-23
Highway Maintenance Crew Member,VA Department of Transportation,Full-Time (Salaried),NA,"$40,000 - 53,633",General Public - G,Closed,2023-03-07T23:55:00Z,Louisa,Zion Crossroads AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-louisa-virginia-united-states,2023-02-23
Area Forester-Southern Rivers District,Department of Forestry,Full-Time (Salaried),NA,"Starting at $40,000.00+ with benefits",General Public - G,Closed,2023-03-08T23:55:00Z,Halifax,Central Office Halifax,https://www.jobs.virginia.gov/jobs/area-forester-southern-rivers-district-halifax-virginia-united-states,2023-02-23
Office Services Specialist,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $44,625",General Public - G,Closed,2023-03-06T23:55:00Z,Chesterfield,12th Dist. CSU Chesterfield,https://www.jobs.virginia.gov/jobs/office-services-specialist-chesterfield-virginia-united-states,2023-02-23
Buyer Specialist,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $60,000",General Public - G,Closed,2023-03-02T23:55:00Z,Richmond,Central Office,https://www.jobs.virginia.gov/jobs/buyer-specialist-richmond-virginia-united-states,2023-02-23
"Benefits Claims Specialist - Roanoke, VA",Department of Veterans Services,Full-Time (Salaried),NA,"Up to $55,000",Agency Employee Only - A,Closed,2023-03-07T23:55:00Z,Roanoke,NA,https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states-c00f5d3e-3080-47d3-9c5a-d33c252eb097,2023-02-23
"Benefits Claims Specialist - Roanoke, VA",Department of Veterans Services,Full-Time (Salaried),NA,"Up to $55, 000",Agency Employee Only - A,Closed,2023-03-07T23:55:00Z,Roanoke,"Roanoke, VA",https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states,2023-02-23
Accounts Payable Technician - AF056,Department of General Services,Full-Time (Salaried),NA,"$40,000 - $55,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/accounts-payable-technician-af056-richmond-virginia-united-states,2023-02-23
"IT Service Delivery Manager, Position No. 03299",Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience, up to $115,000",Agency Employee Only - A,Closed,2023-02-28T23:55:00Z,Richmond,IT SERVICES,https://www.jobs.virginia.gov/jobs/it-service-delivery-manager-position-no-03299-richmond-virginia-united-states,2023-02-23
Veteran Employment Specialist (VES),Virginia Employment Commission,Full-Time (Salaried),NA,"$40,000 - $45,000 annually",Agency Employee Only - A,Closed,2023-03-05T23:55:00Z,"Chesapeake
  Hampton
  Norfolk
  Virginia Beach

            Chesapeake
  Hampton
  Norfolk",NORFOLK,https://www.jobs.virginia.gov/jobs/veteran-employment-specialist-ves-chesapeake-virginia-united-states-hampton-norfolk-virginia-beach,2023-02-23
CO - P0077 - Talent Management Specialist,Department of Environmental Quality,Full-Time (Salaried),NA,"$54,480 - $65,000",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p0077-talent-management-specialist-richmond-virginia-united-states,2023-02-23
Auditor,VA Department of Transportation,Full-Time (Salaried),NA,"$53,984 to $67,480",General Public - G,Closed,2023-03-08T23:55:00Z,Richmond,Annex Building,https://www.jobs.virginia.gov/jobs/auditor-richmond-virginia-united-states-e3aa5a27-1eda-410c-9085-2d3de55262c9,2023-02-23
Counseling Center Retirement Counseling Representative (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,"$54,631 - $65,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/counseling-center-retirement-counseling-representative-hybrid-richmond-virginia-united-states,2023-02-23
Software/Systems Administrator,Jamestown-Yorktown Foundation,Full-Time (Salaried),NA,"$66,500-$73,000",General Public - G,Closed,2023-03-02T23:55:00Z,"Williamsburg
  York",Jamestown General,https://www.jobs.virginia.gov/jobs/software-systems-administrator-williamsburg-virginia-united-states-york,2023-02-23
Online Assistance Representative (Remote),Virginia Retirement System,Full-Time (Salaried),NA,"$54,361",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/online-assistance-representative-remote-richmond-virginia-united-states,2023-02-23
Senior Roadway Design Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$89,000 - $105,000",General Public - G,Open,2023-03-21T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-roadway-design-engineer-richmond-virginia-united-states,2023-02-23
Data Specialist,Marine Resources Commission,Full-Time (Salaried),NA,"$43,000-$52,000",General Public - G,Open,2023-03-19T12:00:00Z,Hampton,main location,https://www.jobs.virginia.gov/jobs/data-specialist-hampton-virginia-united-states,2023-02-23
Seafood Dealer Specialist,Marine Resources Commission,Full-Time (Salaried),NA,"$33,000-$41,000",General Public - G,Open,2023-03-19T12:00:00Z,Hampton,main location,https://www.jobs.virginia.gov/jobs/seafood-dealer-specialist-hampton-virginia-united-states,2023-02-23
School Safety Manager,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $105,000; $5,000 Sign-on Bonus",General Public - G,Open,NA,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/school-safety-manager-chesterfield-virginia-united-states,2023-02-23
Fiscal Technician,Frontier Culture Museum of VA,Full-Time (Salaried),NA,"$41,000-46,000",General Public - G,Open,2023-04-21T23:55:00Z,"Rockbridge County
  Shenandoah
  Staunton
  Waynesboro

            Rockbridge County
  Shenandoah
  Staunton",Frontier Culture Museum of Va,https://www.jobs.virginia.gov/jobs/fiscal-technician-rockbridge-county-virginia-united-states-shenandoah-staunton-waynesboro,2023-02-23
Director of Administrative Compliance,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$91,462 - $130,000",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/director-of-administrative-compliance-richmond-virginia-united-states,2023-02-23
Payment Processing Supervisor,Department of Social Services,Full-Time (Salaried),NA,"$50,811-$64,555",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/payment-processing-supervisor-richmond-virginia-united-states,2023-02-23
Early Childhood Data and Research Analyst,Department of Ed Central Operations,Full-Time (Salaried),5,"$70,000 min - $90,000 max",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/early-childhood-data-and-research-analyst-richmond-virginia-united-states,2023-02-23
Deputy Clerk - Spotsylvania,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-03-03T23:55:00Z,Spotsylvania,Spotsylvania Gen Dist Ct,https://www.jobs.virginia.gov/jobs/deputy-clerk-spotsylvania-spotsylvania-virginia-united-states-afb987d4-b689-4d61-8599-9ef28f98be55,2023-02-23
Food Operations Assistant Director: Fluvanna Correctional Center #00100,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Closed,2023-02-28T23:55:00Z,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-director-fluvanna-correctional-center-00100-fluvanna-virginia-united-states,2023-02-23
Financial Services Director,Department of Prof & Occup Reg,Full-Time (Salaried),NA,"$85,000 - $120,000",General Public - G,Closed,2023-02-26T23:55:00Z,Henrico,DPOR Main Office,https://www.jobs.virginia.gov/jobs/financial-services-director-henrico-virginia-united-states,2023-02-23
Park Ranger Maintenance - Kiptopeke State Park,Department Conservation & Recreation,Full-Time (Salaried),NA,"$31,746 - $46,355",General Public - G,Closed,2023-03-06T23:55:00Z,Northampton,Kiptopeke State Park,https://www.jobs.virginia.gov/jobs/park-ranger-maintenance-kiptopeke-state-park-northampton-virginia-united-states,2023-02-23
Chief Ranger Law Enforcement - Belle Isle State Park,Department Conservation & Recreation,Full-Time (Salaried),NA,"$40,000 - $60,289",General Public - G,Closed,2023-03-08T23:55:00Z,Lancaster,Belle Isle State Park,https://www.jobs.virginia.gov/jobs/chief-ranger-law-enforcement-belle-isle-state-park-lancaster-virginia-united-states,2023-02-23
Defined Contribution Plans Administration and Services Supervisor (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,"$80,000 - $86,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/defined-contribution-plans-administration-and-services-supervisor-hybrid-richmond-virginia-united-states,2023-02-23
